Parameter,Unit,Value,,,,,
Reference channel,,,,R.3-1 FDD,R.3 FDD,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,,,25,50,,
Allocated subframes per Radio Frame,,,,9,9,,
Modulation,,,,16QAM,16QAM,,
Target Coding Rate,,,,1/2,1/2,,
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,6456,14112,,
For Sub-Frame 5,Bits,,,N/A,N/A,,
For Sub-Frame 0,Bits,,,5736,12960,,
Number of Code Blocks per Sub-Frame(Note 3),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,,,2,3,,
For Sub-Frame 5,,,,N/A,N/A,,
For Sub-Frame 0,,,,1,3,,
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,,12600,27600,,
For Sub-Frame 5,Bits,,,N/A,N/A,,
For Sub-Frame 0,Bits,,,10920,25920,,
Max. Throughput averaged over 1 frame,Mbps,,,5.738,12.586,,
UE Category,,,,≥ 1,≥ 2,,
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
