Parameter,Unit,Value
Reference channel,,R.44A-1 TDD
Channel bandwidth,MHz,10
Uplink-Downlink Configuration (Note 3),,2
Allocated resource blocks,,504
Allocated subframes per Radio Frame,,4+2
Modulation,,64QAM
Target Coding Rate,,1/2
Information Bit Payload,,
For Sub-Frames (Non CSI-RS subframe),Bits,18336
For Sub-Frames (CSI-RS subframe),Bits,N/A
For Sub-Frame 5,Bits,N/A
"For Sub-Frames 1,6",,11832
For Sub-Frame 0,Bits,14688
Number of Code Blocks per Sub-Frame(Note 5),,
For Sub-Frames (Non CSI-RS subframe),,3
For Sub-Frames (CSI-RS subframe),,N/A
For Sub-Frame 5,,N/A
"For Sub-Frames 1,6",,2
For Sub-Frame 0,,3
Binary Channel Bits Per Sub-Frame,,
For Sub-Frames (Non CSI-RS subframe),Bits,36000
For Sub-Frames (CSI-RS subframe),Bits,N/A
For Sub-Frame 5,Bits,N/A
"For Sub-Frames 1,6",Bits,23616
For Sub-Frame 0,Bits,29520
Max. Throughput averaged over 1 frame,Mbps,9.336
UE Category,,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHzNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:For R.44A-1, 50 resource blocks are allocated in sub-frames 3, 8, 9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in sub-frame 0 and and the DwPTS portion of sub-frames 1,6.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,
