Parameter,Unit,Value,,,,,,,,,,,
Reference channel,,R.12 FDD,R.13 FDD,R.14 FDD,R.14-1 FDD,R.14-2 FDD,R.14-3 FDD,R.36 FDD,R.14-4 FDD,R.14-5 FDD,R.14-6 FDD,R.14-7 FDD,R.36-1 FDD
Channel bandwidth,MHz,1.4,10,10,10,10,20,10,1.4,3,5,15,10
Allocated resource blocks (Note 4),,6,50,50,6,3,100,50,6,15,25,75,50
Allocated subframes per Radio Frame,,9,9,9,8,8,9,9,8,9,9,9,9
Modulation,,QPSK,QPSK,16QAM,16QAM,16QAM,16QAM,64QAM,16QAM,16QAM,16QAM,16QAM,64QAM
Target Coding Rate,,1/3,1/3,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,0.55
Information Bit Payload (Note 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,408,4392,12960,1544,744,25456,18336,1192,3368,5736,19080,21384
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,152,3624,11448,N/A,N/A,22920,18336,N/A,2664,4968,19080,19848
Number of Code Blocks(Notes 3 and 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,1,1,3,1,1,5,3,1,1,1,4,4
For Sub-Frame 5,,N/A,N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,1,1,2,N/A,N/A,4,3,N/A,1,1,4,4
Binary Channel Bits (Note 4),,,,,,,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1248,12800,25600,3072,1536,51200,38400,2496,6960,11600,38400,38400
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,480,12032,24064,N/A,N/A,49664,36096,N/A,5424,10064,36864,36096
Max. Throughput averaged over 1 frame (Note 4),Mbps,0.342,3.876,11.513,1.235,0.595,22.656,16.502,0.954,2.961,5.086,17.172,19.092
UE Category,,≥ 1,≥ 1,≥ 2,≥ 1,≥ 1,≥ 2,≥ 2,≥ 1,≥ 1,≥ 1,≥ 2,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:Given per component carrier per codeword.",,,,,,,,,,,,,
