Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,Table A.2.2.1.2-1,,1.4,16QAM,3/4,6,,≥ 1,
FDD,Table A.2.2.1.2-1,,3,16QAM,1/2,15,,≥ 1,
FDD,Table A.2.2.1.2-1,,5,16QAM,1/3,25,,≥ 1,
FDD,Table A.2.2.1.2-1,,10,16QAM,3/4,50,,≥ 2,
FDD,Table A.2.2.1.2-1,,15,16QAM,1/2,75,,≥ 2,
FDD,Table A.2.2.1.2-1,,20,16QAM,1/3,100,,≥ 2,
FDD / HD-FDD,Table A.2.2.1.2-1a,,1.4,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1a,,3,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1a,,5,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1a,,10,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1a,,15,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1a,,20,16QAM,1/3,5,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.2-1b,,1.4,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1b,,3,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1b,,5,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1b,,10,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1b,,15,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1b,,20,16QAM,1/3,5,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.2-1c,,1.4,16QAM,1/3,6,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.2-1c,,3,16QAM,1/3,12,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.2-1c,,5,16QAM,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.2-1c,,10,16QAM,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.2-1c,,15,16QAM,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.2-1c,,20,16QAM,1/3,24,,-,UE UL category M2
