Parameter,Unit,Value,,,,,
Reference channel,,R.5 FS3,R.6 FS3,R.7 FS3,R.8 FS3,R.9 FS3,R.10 FS3
Channel bandwidth,MHz,20,20,20,20,20,20
Allocated resource blocks,,100,100,100,100,100,100
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Coding Rate,,,,,,,
For Sub-Frame 0,,0.89,0.89,0.90,0.80,0.80,0.81
"For Sub-Frame 1,2,3,4,6,7,8",,0.88,0.88,0.88,0.79,0.79,0.79
For Sub-Frame 5,,0.89,0.89,0.89,0.80,0.80,0.80
For Sub-Frame 9,,N/A,0.77,0.88,N/A,0.82,0.79
Information Bit Payload (Note 7),,,,,,,
For Sub-Frame 0,,75376,75376,36696,128496,128496,61664
"For Sub-Frames 1,2,3,4,6,7,8",Bits,75376,75376,75376,128496,128496,128496
For Sub-Frame 5,Bits,75376,75376,75376,128496,128496,128496
For Sub-Frame 9,Bits,N/A,55056,75376,N/A,110136,128496
Number of Code Blocks(Notes 3 and 6),,,,,,,
For Sub-Frame 0,,13,13,6,21,21,11
"For Sub-Frames 1,2,3,4,6,7,8",,13,13,13,21,21,21
For Sub-Frame 5,,13,13,13,21,21,21
For Sub-Frame 9,,N/A,9,13,N/A,18,21
Binary Channel Bits (Note 7),,,,,,,
For Sub-Frame 0,,85536,85536,40800,161472,161472,76800
"For Sub-Frames 1,2,3,4,6,7,8",Bits,86400,86400,86400,163200,163200,163200
For Sub-Frame 5,Bits,85536,85536,85536,161472,161472,161472
For Sub-Frame 9,Bits,N/A,72000,86400,N/A,134400,163200
Number of layers,,2,2,2,4,4,4
Max. Throughput averaged over 1 frame (Note 7),Mbps,67.8384,73.3440,71.5080,115.6464,126.6600,121.8128
UE Categories,,≥ 5,≥ 5,≥ 5,≥ 5,≥ 5,≥ 5
"Note 1:1 symbol allocated to PDCCH for all tests.Note 2:Reference signal and synchronization signals are allocated as per TS 36.211 [4]. PBCH and SIBs are not allocated in FS3 cell.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 4:For R.5 FS3 and R.8 FS3, burst consists of 9 full subframes. Between two consecutive bursts, there is one subframe gap.Note 5:For R.6 FS3 and R.9 FS3, burst consists of 9 full subframes and 1 ending partial subframe that has 12 OFDM symbols. Between two consecutive bursts, there is 2 OFDM symbol gap.Note 6:For R.7 FS3 and R.10 FS3, burst consists of 1 initial partial subframe and 9 full subframes. Between two consecutive bursts, there is 7 OFDM symbol gap.Note 7: Given per component carrier per codeword.",,,,,,,
