Parameter,Unit,Value,
Reference channel,,R.70 TDD,R.71 TDD
Channel bandwidth,MHz,10,10
Allocated resource blocks,,50 (Note 4),50 (Note 4)
Uplink-Downlink Configuration (Note 3),,1,1
Allocated subframes per Radio Frame (D+S),,2+2,2+2
Modulation,,QPSK,16QAM
Target Coding Rate,,,
"For Sub-Frames 4,9",,0.65,0.6
"For Sub-Frames 1,6",,0.54,0.5
Information Bit Payload,,,
"For Sub-Frames 4,9",Bits,6968,12960
"For Sub-Frames 1,6",Bits,4264,7736
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,N/A,N/A
Number of Code Blocks per Sub-Frame(Note 5),,,
"For Sub-Frames 4,9",,2,3
"For Sub-Frames 1,6",,1,2
For Sub-Frame 5,,N/A,N/A
For Sub-Frame 0,,N/A,N/A
Binary Channel Bits Per Sub-Frame,,,
"For Sub-Frames 4,9",Bits,10800,21600
"For Sub-Frames 1,6",Bits,7872,15744
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,N/A,N/A
Max. Throughput averaged over 1 frame,Mbps,2.2464,4.1392
UE Category,,≥ 1,≥ 2
"Note 1:3 symbols allocated to PDCCH in normal subframes and 2 symbols allocated to PDCCH in special subframesNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4: For R.63, and R.64, 50 resource blocks are allocated in sub-frames 4,9 and 41 resource blocks (RB0–RB20 and RB30–RB49) are allocated in the DwPTS portion of sub-frames 1,6.Note 5: If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,
