Parameter,Unit,Value,
Reference channel,,R.49 TDD,R.49-1 TDD
Channel bandwidth,MHz,20,15
Allocated resource blocks,,100,75
Uplink-Downlink Configuration (Note 1),,1,1
Allocated subframes per Radio Frame (D+S),,3+2,3+2
Modulation,,64QAM,64QAM
Number of OFDM symbols for PDCCH per component carrier,,,
"For Sub-Frames 0,4,5,9",OFDM symbols,3,3
"For Sub-Frames 1,6",OFDM symbols,2,2
Target Coding Rate,,,
"For Sub-Frames 4,9",,0.84,0.83
"For Sub-Frames 1,6",,0.81,0.80
For Sub-Frames 5,,N/A,N/A
For Sub-Frames 0,,0.87,0.86
Information Bit Payload,,,
"For Sub-Frames 0, 4, 9",Bits,63776,46888
"For Sub-Frame 1,6",Bits,55056,40576
For Sub-Frame 5,Bits,N/A,N/A
Number of Code Blocks per Sub-Frame(Note 2),,,
"For Sub-Frames 0, 4, 9",Code Blocks,11,8
"For Sub-Frame 1,6",Code Blocks,9,7
For Sub-Frame 5,Code Blocks,N/A,N/A
Binary Channel Bits Per Sub-Frame,,,
"For Sub-Frames 4,9",Bits,75600,56700
"For Sub-Frame 1,6",Bits,67968,50868
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,73512,54612
Max. Throughput averaged over 1 frame,Mbps,30.144,22.182
UE Category,,≥5,≥ 3
"Note 1:Reference signal, synchronization signals and PBC allocated as per TS 36.211 [4].Note 2:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,
