Parameter,Unit,Value
Reference channel,,R.64 FDD
Channel bandwidth,MHz,10
Allocated resource blocks (Note 4),,6
Allocated subframes per 4 Radio Frames,,15
Modulation,,QPSK
Target Coding Rate,,1/3
Information Bit Payload,,
"For Sub-Frames 0,1,4,5,6,9 (Note 3)",Bits,504
"For Sub-Frames 2,3,7,8 (Note 3)",Bits,504
Number of Code Blocks,,
"For Sub-Frames 0,1,4,5,6,9",Code blocks,1
"For Sub-Frames 2,3,7,8",Code blocks,1
Binary Channel Bits,,
"For Sub-Frames 0,1,4,5,6,9",Bits,1440
"For Sub-Frames 2,3,7,8",Bits,1392
Max. Throughput averaged over 4 frames,Mbps,0.189
UE DL Category,,0
"Note 1:2 symbols allocated to PDCCH.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3: The downlink subframes are scheduled at the 0th, 1st, 2nd, 8th, 9th, 10th, 16th, 17th, 18th, 24th, 25th, 26th, 32nd, 33rd, 34th subframes every 40ms. Information bit payload is avaialbe if downlink subframe is scheduled.Note 4:Allocated PRB positions start from {9, 10, …, 9+N-1}, where N is the number of allocated resource blocks.",,
