Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Subcarriers per resource block,,12,12,12,12,12,12
Allocated subframes per Radio Frame,,9,9,9,9,9,9
Modulation,,QPSK,QPSK,QPSK,QPSK,QPSK,QPSK
Target Coding Rate,,1/3,1/3,1/3,1/3,1/3,1/3
Number of HARQ Processes,Processes,8,8,8,8,8,8
Maximum number of HARQ transmissions,,1,1,1,1,1,1
Information Bit Payload per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,408,1320,2216,4392,6712,8760
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,152,872,1800,4392,6712,8760
Transport block CRC,Bits,24,24,24,24,24,24
Number of Code Blocks per Sub-Frame(Note 3),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1,1,1,1,2,2
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,1,1,1,1,2,2
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,1368,3780,6300,13800,20700,27600
For Sub-Frame 5,Bits,N/A,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,528,2940,5460,12960,19860,26760
Max. Throughput averaged over 1 frame,kbps,341.6,1143.2,1952.8,3952.8,6040.8,7884
UE Category,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1,≥ 1
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10MHz channel BW. 3 symbols allocated to PDCCH for 5 MHz and 3 MHz. 4 symbols allocated to PDCCH for 1.4 MHzNote 2:Reference signal, Synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,,,,,,
