Parameter,Unit,Value,,,,,
Reference channel,,,R.6-1 FDD,R.7-1 FDD,R.8-1 FDD,R.9-1 FDD,R.9-2 FDD
Channel bandwidth,MHz,,5,10,15,20,20
Allocated resource blocks (Note 3),,,18,17,17,17,83
Allocated subframes per Radio Frame,,,9,9,9,9,9
Modulation,,,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding Rate,,,3/4,3/4,3/4,3/4,3/4
Information Bit Payload,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,10296,10296,10296,10296,51024
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,8248,10296,10296,10296,51024
Number of Code Blocks per Sub-Frame(Note 4),,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",,,2,2,2,2,9
For Sub-Frame 5,,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,,,2,2,2,2,9
Binary Channel Bits Per Sub-Frame,,,,,,,
"For Sub-Frames 1,2,3,4,6,7,8,9",Bits,,13608,14076,14076,14076,68724
For Sub-Frame 5,Bits,,N/A,N/A,N/A,N/A,N/A
For Sub-Frame 0,Bits,,11088,14076,14076,14076,66204
Max. Throughput averaged over 1 frame,Mbps,,9.062,9.266,9.266,9.266,45.922
UE Category,,,≥ 1,≥ 1,≥ 1,≥ 1,≥ 2
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:Localized allocation started from RB #0 is applied.Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
