Parameter,Unit,Value,
Channel bandwidth,MHz,10,20
Allocated resource blocks,,50,100
DFT-OFDM Symbols per Sub-Frame,,12,12
Modulation,,16QAM,16QAM
Target Coding rate,,3/4,1/3
Payload size,Bits,21384,19848
Transport block CRC,Bits,24,24
Number of code blocks per Sub-Frame(Note 1),,4,4
Total number of bits per Sub-Frame,Bits,28800,57600
Total symbols per Sub-Frame,,7200,14400
UE Category,,≥ 2,≥ 2
"Note 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)",,,
