Parameter,Unit,Value,
Reference channel,,R.65 TDD,R.84 TDD
Channel bandwidth,MHz,20,10
Allocated resource blocks (Note 5),,100,39
Uplink-Downlink Configuration (Note 3),,1,1
Allocated subframes per Radio Frame (D+S),,2+2,3+2
Modulation,,256QAM,16QAM
Target Coding Rate,,,1/2
Information Bit Payload (Note 5),,,
"For Sub-Frames 4,9",Bits,63776,9912
"For Sub-Frames 1,6",,46888,7480
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,N/A,9912
Number of Code Blocks(Notes 4 and 5),,,
"For Sub-Frames 4,9",,11,2
"For Sub-Frames 1,6",,9,2
For Sub-Frame 5,,N/A,N/A
For Sub-Frame 0,,N/A,2
Binary Channel Bits (Note 5),,,
"For Sub-Frames 4,9",Bits,115200,20592
"For Sub-Frames 1,6",,95424,16848
For Sub-Frame 5,Bits,N/A,N/A
For Sub-Frame 0,Bits,N/A,20592
Max. Throughput averaged over 1 frame (Note 5),Mbps,22.133,4.4696
UE Category,,11-12,1bis
UE DL Category,,≥ 11,N/A
"Note 1:2 symbols allocated to PDCCH for 20 MHz, 15 MHz and 10 MHz channel BW; 3 symbols allocated to PDCCH for 5 MHz and 3 MHz; 4 symbols allocated to PDCCH for 1.4 MHz. For subframe 1&6, only 2 OFDM symbols are allocated to PDCCH. For 256QAM reference channel 1 symbol is allocated.Note 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4].Note 3:As per Table 4.2-2 in TS 36.211 [4].Note 4:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).Note 5:Given per component carrier per codeword",,,
