Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
Without CSI-RS,,,,,,,,,
FDD,Table A.3.3.3.0-1,R.70 FDD,10,QPSK,0.65,50,,≥ 1,
FDD,Table A.3.3.3.0-1,R.71 FDD,10,16QAM,0.6,50,,≥ 2,
FDD,Table A.3.3.3.0-2,R.80 FDD,10,QPSK,1/3,6,,"M1, ≥ 0",
Two antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.1-1,R.51 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.1-1,R.51-1 FDD,10,16QAM,0.54,50,,≥ 2,
FDD,Table A.3.3.3.1-1,R.51-2 FDD,5,16QAM,0.54,25,,≥ 2,
FDD,Table A.3.3.3.1-1,R.51-3 FDD,15,16QAM,0.54,75,,≥ 2,
FDD,Table A.3.3.3.1-1,R.51-4 FDD,20,16QAM,0.54,100,,≥ 2,
FDD,Table A.3.3.3.1-1,R.76 FDD,10,QPSK,,50,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-1 FDD,5,QPSK,,25,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-2 FDD,15,QPSK,,75,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-3 FDD,20,QPSK,,100,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-4 FDD,5,QPSK,,25,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-5 FDD,10,QPSK,,50,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-6 FDD,15,QPSK,,75,,≥ 2,
FDD,Table A.3.3.3.1-3,R.76-7 FDD,20,QPSK,,100,,≥ 2,
FDD,Table A.3.3.3.1-1,R.86 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.3.1-1,R.86A FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.3.1-1,R.94 FDD,10,QPSK,2/3,24,,≥ 1,
"Two antenna ports (CSI-RS, non Quasi Co-located)",,,,,,,,,
FDD,Table A.3.3.3.1-2,R.52 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.1-2,R.52-1 FDD,10,16QAM,0.54,50,,≥ 2,
FDD,Table A.3.3.3.1-2,R.53 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.1-2,R.54 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.1-2,R.97 FDD,10,16QAM,1/2,50,,≥ 2,
Four antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.2-1,R.43 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.3.2-1,R.50 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-2,R.50A-1 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-2,R.44 FDD,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.3.3.3.2-2,R.45 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-2,R.45-1 FDD,10,16QAM,1/2,39,,≥ 1,
FDD,Table A.3.3.3.2-1,R.45A-1 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-2,R.45A-2 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-1,R.48 FDD,10,QPSK,,50,,≥ 1,
FDD,Table A.3.3.3.2-2,R.60 FDD,10,QPSK,1/2,50,,≥ 1,
FDD,Table A.3.3.3.2-3,R.64 FDD,10,QPSK,1/3,6,,0,
FDD,Table A.3.3.3.2-1,R.66 FDD,10,256QAM,0.77,50,,11-15,
FDD,Table A.3.3.3.2-4,R.69 FDD,10,QPSK,0.74-0.8,50,,≥ 1,
FDD,Table A.3.3.3.2-1,R.75 FDD,10,16QAM,0.57,50,,≥ 5,
FDD,Table A.3.3.3.2-1,R.75A FDD,10,16QAM,0.51,50,,≥5,
FDD,Table A.3.3.3.2-1,R.cc FDD,10,16QAM,0.64,50,,≥ 2,
FDD,Table A.3.3.3.2-1,R.xx2 FDD,10,1024QAM,,50,,"20, ≥ 22",UE DL Category
"Four antenna ports (CSI-RS, non Quasi Co-located)",,,,,,,,,
FDD,Table A.3.3.3.2-5,R.98 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-5,R.99 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2-6,R.100 FDD,10,16QAM,1/2,50,,≥ 2,
Eight antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.2A-1,R.50A-2 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2A-1,R.50A-3 FDD,10,64QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.2A-2,R.108 FDD,10,QPSK,1/2,4,,≥ 1,
Twelve antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.3-1,R.77 FDD,10,64QAM,1/2,50,,≥ 2,
Sixteen antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.4-1,R.78 FDD,10,16QAM,1/2,50,,≥ 2,
Twenty-four antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.5-1,R.88 FDD,10,16QAM,1/2,50,,≥ 2,
FDD,Table A.3.3.3.5-1,R.88A FDD,10,16QAM,1/2,50,,≥ 2,
Thirty-two antenna ports (CSI-RS),,,,,,,,,
FDD,Table A.3.3.3.6-1,R.89 FDD,10,64QAM,1/2,50,,≥ 2,
