Parameter,PMCH,,,,,,
,Unit,Value,,,,,
Reference channel,,R.40 TDD,,,R.37 TDD,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,,,50,,
Uplink-Downlink Configuration(Note 1),,5,,,5,,
Allocated subframes per Radio Frame,,5,,,5,,
Modulation,,QPSK,,,QPSK,,
Target Coding Rate,,1/3,,,1/3,,
Information Bit Payload (Note 2),,,,,,,
"For Sub-Frames 3,4,7,8,9",Bits,408,,,3624,,
"For Sub-Frames 0,1,2,5,6",Bits,N/A,,,N/A,,
Number of Code Blocks per Subframe (Note 3),,1,,,1,,
Binary Channel Bits Per Subframe,,,,,,,
"For Sub-Frames 3,4,7,8,9",Bits,1224,,,10200,,
"For Sub-Frames 0,1,2,5,6",Bits,N/A,,,N/A,,
MBMS UE Category,,≥ 1,,,≥ 1,,
"Note 1:For TDD mode, in line with TS 36.331, Uplink-Downlink Configuration 5 is proposed, up to 5 subframes (#3/4/7/8/9) are available for MBMS.Note 2:2 OFDM symbols are reserved for PDCCH; reference signal allocated as per TS 36.211.Note 3:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit).",,,,,,,
