Parameter,Unit,Value,
Reference channel,,R.62 FDD,R.63 FDD
Channel bandwidth,MHz,10,10
Allocated resource blocks (Note 4),,3,1
Allocated DL subframes per 4 Radio Frames (Note 3),,15,15
Modulation,,16QAM,64QAM
Target Coding Rate,,1/2,1/2
Information Bit Payload,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,744,408
Number of Code Blocks,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Code blocks,1,1
Binary Channel Bits,,,
"For Sub-Frames 0,1,2,3,4,5,6,7,8,9",Bits,1584,792
Max. Throughput averaged over 4 frames,Mbps,0.279,0.153
UE DL Category,,0,0
"Note 1:2 symbols allocated to PDCCHNote 2:Reference signal, synchronization signals and PBCH allocated as per TS 36.211 [4]Note 3: The downlink subframes are scheduled at the 0th, 1st, 2nd, 8th, 9th, 10th, 16th, 17th, 18th, 24th, 25th, 26th, 32nd, 33rd, 34th subframes every 40ms. Information bit payload is available if downlink subframe is scheduled.Note 4:Allocated PRB positions start from {9, 10, …, 9+N-1}, where N is the number of allocated resource blocks.",,,
