Duplex,Table,Name,BW,Mod,TCR,RB,RBOffset,UE Categ,Notes
FDD,Table A.2.2.1.1-1,,1.4,QPSK,1/3,6,,≥ 1,
FDD,Table A.2.2.1.1-1,,3,QPSK,1/3,15,,≥ 1,
FDD,Table A.2.2.1.1-1,,5,QPSK,1/3,25,,≥ 1,
FDD,Table A.2.2.1.1-1,,10,QPSK,1/3,50,,≥ 1,
FDD,Table A.2.2.1.1-1,,15,QPSK,1/5,75,,≥ 1,
FDD,Table A.2.2.1.1-1,,20,QPSK,1/6,100,,≥ 1,
FDD / HD-FDD,Table A.2.2.1.1-1a,,1.4,QPSK,1/3,6,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1a,,3,QPSK,1/5,15,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1a,,5,QPSK,1/8,25,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1a,,10,QPSK,1/10,36,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1a,,15,QPSK,1/10,36,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1a,,20,QPSK,1/10,36,,-,UE UL category 0
FDD / HD-FDD,Table A.2.2.1.1-1b,,1.4,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1b,,3,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1b,,5,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1b,,10,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1b,,15,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1b,,20,QPSK,1/3,6,,-,UE UL category M1
FDD / HD-FDD,Table A.2.2.1.1-1c,,1.4,QPSK,1/3,6,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.1-1c,,3,QPSK,1/3,12,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.1-1c,,5,QPSK,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.1-1c,,10,QPSK,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.1-1c,,15,QPSK,1/3,24,,-,UE UL category M2
FDD / HD-FDD,Table A.2.2.1.1-1c,,20,QPSK,1/3,24,,-,UE UL category M2
