Parameter,Ch BW,Allocated RBs,DFT-OFDM Symbols per Sub-Frame,Mod’n,Target Coding rate,Payload size,Transport block CRC,Number of code blocks per Sub-Frame (Note 1),Total number of bits per Sub-Frame,Total symbols per Sub-Frame
Unit,MHz,,,,,Bits,Bits,,Bits,
,"10, 20",3,10,16QAM,2/3,904,24,1,1440,360
,"10, 20",4,10,16QAM,2/3,1224,24,1,1920,480
,"10, 20",5,10,16QAM,2/3,1544,24,1,2400,600
,"10, 20",6,10,16QAM,2/3,1800,24,1,2880,720
,"10, 20",8,10,16QAM,2/3,2472,24,1,3840,960
,"10, 20",9,10,16QAM,2/3,2728,24,1,4320,1080
,"10, 20",10,10,16QAM,2/3,3112,24,1,4800,1200
,"10, 20",12,10,16QAM,2/3,3624,24,1,5760,1440
,"10, 20",15,10,16QAM,2/3,4584,24,1,7200,1800
,"10, 20",16,10,16QAM,2/3,4968,24,1,7680,1920
,"10, 20",18,10,16QAM,2/3,5544,24,1,8640,2160
,"10, 20",20,10,16QAM,2/3,6200,24,2,9600,2400
,"10, 20",24,10,16QAM,2/3,7736,24,2,11520,2880
,"10, 20",25,10,16QAM,2/3,7992,24,2,12000,3000
,"10, 20",27,10,16QAM,2/3,8760,24,2,12960,3240
,"10, 20",30,10,16QAM,2/3,9912,24,2,14400,3600
,"10, 20",32,10,16QAM,2/3,10296,24,2,15360,3840
,"10, 20",36,10,16QAM,2/3,11832,24,2,17280,4320
,"10, 20",40,10,16QAM,2/3,12960,24,3,19200,4800
,"10, 20",45,10,16QAM,2/3,14688,24,3,21600,5400
,"10, 20",48,10,16QAM,2/3,15840,24,3,23040,5760
,20,50,10,16QAM,2/3,16416,24,3,24000,6000
,20,54,10,16QAM,2/3,17568,24,3,25920,6480
,20,60,10,16QAM,2/3,18336,24,3,28800,7200
,20,64,10,16QAM,2/3,20616,24,4,30720,7680
,20,72,10,16QAM,2/3,23688,24,4,34560,8640
,20,75,10,16QAM,2/3,24496,24,4,36000,9000
,20,80,10,16QAM,2/3,26416,24,5,38400,9600
,20,81,10,16QAM,2/3,26416,24,5,38880,9720
,20,90,10,16QAM,2/3,29296,24,5,43200,10800
,20,96,10,16QAM,2/3,29296,24,5,46080,11520
