E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,
E-UTRA Band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz,Duplex Mode
1,,,,[6]1,,,FDD
2,,,,[6]1,,,FDD
3,,,,[6]1,,,FDD
4,,,,[6]1,,,FDD
5,,,,[6]1,,,FDD
6,,,,[6]1,,,FDD
7,,,,[6]1,,,FDD
8,,,,[6]1,,,FDD
9,,,,[6]1,,,FDD
10,,,,[6]1,,,FDD
11,,,,[6]1,,,FDD
12,,,,[6]1,,,FDD
13,,,,[6]1,,,FDD
14,,,,[6]1,,,FDD
…,,,,,,,
17,,,,[6]1,,,FDD
18,,,,[6]1,,,FDD
19,,,,[6]1,,,FDD
20,,,,[6]1,,,FDD
22,,,,[6]1,,,FDD
21,,,,[6]1,,,FDD
23,,,,[6]1,,,FDD
24,,,,[6]1,,,FDD
26,,,,[6]1,,,FDD
27,,,,[6]1,,,FDD
28,,,,[6]1,,,FDD
30,,,,[6]1,,,FDD
31,,,[5]4,,,,FDD
…,,,,,,,
33,,,,50,,,TDD
34,,,,50,,,TDD
35,,,,50,,,TDD
36,,,,50,,,TDD
37,,,,50,,,TDD
38,,,,50,,,TDD
39,,,,50,,,TDD
40,,,,50,,,TDD
42,,,,50,,,TDD
43,,,,50,,,TDD
44,,,,50,,,TDD
45,,,,50,,,TDD
…,,,,,,,
54,,,[6],,,,TDD
…,,,,,,,
65,,,,[6]1,,,FDD
…,,,,,,,
70,,,,[6]1,,,FDD
71,,,,[6]1,,,FDD
87,,,[5]4,,,,FDD
88,,,[5]4,,,,FDD
"Note 1:The UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).Note 2:For the UE which supports both Band 11 and Band 21 the minimum uplink configuration for reference sensitivity is FFS.Note 3:For Band 20; in the case of 15MHz channel bandwidth, the UL resource blocks shall be located at RBstart _11 and in the case of 20MHz channel bandwidth, the UL resource blocks shall be located at RBstart _16Note 4:For Band 31, 87, 88; in the case of 5MHz channel bandwidth, the UL resource blocks shall be located at RBstart _10",,,,,,,
