DCI format,Usage
0_0,Scheduling of PUSCH in one cell
0_1,"Scheduling of one or multiple PUSCH in one cell, or indicating downlink feedback information for configured grant PUSCH (CG-DFI)"
0_2,Scheduling of PUSCH in one cell
0_3,"Scheduling of one or multiple PUSCHs in one cell, or multiple PUSCHs in multiple cells with one or multiple PUSCHs per cell"
1_0,Scheduling of PDSCH in one cell
1_1,"Scheduling of one or multiple PDSCH in one cell, and/or triggering one shot HARQ-ACK codebook feedback"
1_2,Scheduling of PDSCH in one cell
1_3,"Scheduling of one or multiple PDSCHs in one cell, or multiple PDSCHs in multiple cells with one or multiple PDSCHs per cell"
2_0,"Notifying a group of UEs of the slot format, available RB sets, COT duration and search space set group switching"
2_1,Notifying a group of UEs of the PRB(s) and OFDM symbol(s) where UE may assume no transmission is intended for the UE
2_2,Transmission of TPC commands for PUCCH and PUSCH
2_3,Transmission of a group of TPC commands for SRS transmissions by one or more UEs
2_4,Notifying a group of UEs of the PRB(s) and OFDM symbol(s) where UE cancels the corresponding UL transmission from the UE
2_5,"Notifying the availability of soft resources as defined in Clause 9.3.1 of [10, TS 38.473]"
2_6,Notifying the power saving information outside DRX Active Time for one or more UEs
2_7,Notifying paging early indication and TRS availability indication for one or more UEs
2_8,Notifying the aperiodic beam indication and associated time resources
2_9,"Activating or de-activating the cell DTX and/or DRX configuration of one or multiple serving cells for one or more UEs, and/or for providing NES-mode indication of the primary cell for one or more UEs, or for adapting SSB periodicity of one or multiple serving cells for one or more UEs"
3_0,Scheduling of NR sidelink in one cell
3_1,Scheduling of LTE sidelink in one cell
3_2,Scheduling of NR SL PRS in one cell
4_0,Scheduling of PDSCH with CRC scrambled by MCCH-RNTI/G-RNTI for broadcast or by Multicast MCCH-RNTI for multicast in RRC_INACITIVE state
4_1,Scheduling of PDSCH with CRC scrambled by G-RNTI/G-CS-RNTI for multicast in RRC_CONNECTED state or by G-RNTI for multicast in RRC_INACITIVE state
4_2,Scheduling of PDSCH with CRC scrambled by G-RNTI/G-CS-RNTI for multicast in RRC_CONNECTED state
