Bit field mapped to index,codebookSubset = partialAndNonCoherent,Bit field mapped to index,codebookSubset= nonCoherent
0,1 layer: TPMI=0,0,1 layer: TPMI=0
1,1 layer: TPMI=1,1,1 layer: TPMI=1
…,…,…,…
3,1 layer: TPMI=3,3,1 layer: TPMI=3
4,2 layers: TPMI=0,4,2 layers: TPMI=0
…,…,…,…
9,2 layers: TPMI=5,9,2 layers: TPMI=5
10,1 layer: TPMI=13,10,1 layer: TPMI=13
11,2 layer: TPMI=6,11,2 layer: TPMI=6
12,1 layer: TPMI=4,12-15,Reserved
…,…,,
20,1 layer: TPMI=12,,
21,1 layer: TPMI=14,,
22,1 layer: TPMI=15,,
23,2 layers: TPMI=7,,
…,…,,
29,2 layers: TPMI=13,,
30-31,Reserved,,
