"One codeword:Codeword 0 enabled,Codeword 1 disabled",,,"Two codewords:Codeword 0 enabled,Codeword 1 enabled",,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,0,0,3,0-4
1,1,1,1,3,0-5
2,1,"0,1",2,2,"0,1,2,3,12"
3,2,0,3,2,"0,1,2,3,12,14"
4,2,1,4,2,"0-3,12-14"
5,2,2,5,2,"0-3,12-15"
6,2,3,6,3,"0,1,2,3,12"
7,2,"0,1",7,3,"0,1,2,3,12,14"
8,2,"2,3",8,3,"0-3,12-14"
9,2,0-2,9,3,"0-3,12-15"
10,2,0-3,10~63,Reserved,Reserved
11,3,0,,,
12,3,1,,,
13,3,2,,,
14,3,3,,,
15,3,4,,,
16,3,5,,,
17,3,"0,1",,,
18,3,"2,3",,,
19,3,"4,5",,,
20,3,0-2,,,
21,3,3-5,,,
22,3,0-3,,,
23,2,"0,2",,,
24,1,12,,,
25,1,13,,,
26,1,"12,13",,,
27,2,12,,,
28,2,13,,,
29,2,14,,,
30,2,15,,,
31,2,"12,13",,,
32,2,"14,15",,,
33,3,12,,,
34,3,13,,,
35,3,14,,,
36,3,15,,,
37,3,16,,,
38,3,17,,,
39,3,"12,13",,,
40,3,"14,15",,,
41,3,"16,17",,,
42,1,"0,1,12",,,
43,1,"0,1,12,13",,,
44,2,"0,1,12",,,
45,2,"0,1,12,13",,,
46,2,"2,3,14",,,
47,2,"2,3,14,15",,,
48,3,"0,1,12",,,
49,3,"0,1,12,13",,,
50,3,"2,3,14",,,
51,3,"2,3,14,15",,,
52,3,"4,5,16",,,
53,3,"4,5,16,17",,,
54,2,"0,2,3",,,
55-63,Reserved,Reserved,,,
