Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,"0,1",1
1,2,"0,1",1
2,2,"2,3",1
3,3,"0,1",1
4,3,"2,3",1
5,3,"4,5",1
6,2,"0,2",1
7,3,"0,1",2
8,3,"2,3",2
9,3,"4,5",2
10,3,"6,7",2
11,3,"8,9",2
12,3,"10,11",2
13,1,"0,1",2
14,1,"6,7",2
15,2,"0,1",2
16,2,"2,3",2
17,2,"6,7",2
18,2,"8,9",2
19,1,"12,13",1
20,2,"12,13",1
21,2,"14,15",1
22,3,"12,13",1
23,3,"14,15",1
24,3,"16,17",1
25,3,"12,13",2
26,3,"14,15",2
27,3,"16,17",2
28,3,"18,19",2
29,3,"20,21",2
30,3,"22,23",2
31,1,"12,13",2
32,1,"18,19",2
33,2,"12,13",2
34,2,"14,15",2
35,2,"18,19",2
36,2,"20,21",2
37,3,"13,15",1
38,2,"13,15",1
39-63,Reserved,Reserved,Reserved
