"One Codeword:Codeword 0 enabled,Codeword 1 disabled",,,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,0,0,2,"0,1,2,3,8"
1,1,1,1,2,"0,1,2,3,8,10"
2,1,"0,1",2,2,"0,1,2,3,8,9,10"
3,2,0,3,2,"0,1,2,3,8,9,10,11"
4,2,1,4-31,Reserved,Reserved
5,2,2,,,
6,2,3,,,
7,2,"0,1",,,
8,2,"2,3",,,
9,2,0-2,,,
10,2,0-3,,,
11,2,"0,2",,,
12,1,8,,,
13,1,9,,,
14,1,"8,9",,,
15,2,8,,,
16,2,9,,,
17,2,10,,,
18,2,11,,,
19,2,"8,9",,,
20,2,"10,11",,,
21,1,"0,1,8",,,
22,1,"0,1,8,9",,,
23,2,"0,1,8",,,
24,2,"0,1,8,9",,,
25,2,"2,3,10",,,
26,2,"2,3,10,11",,,
27,2,"0,2,3",,,
28-31,Reserved,Reserved,,,
