Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,0,1
1,1,1,1
2,2,0,1
3,2,1,1
4,2,2,1
5,2,3,1
6,3,0,1
7,3,1,1
8,3,2,1
9,3,3,1
10,3,4,1
11,3,5,1
12,3,0,2
13,3,1,2
14,3,2,2
15,3,3,2
16,3,4,2
17,3,5,2
18,3,6,2
19,3,7,2
20,3,8,2
21,3,9,2
22,3,10,2
23,3,11,2
24,1,0,2
25,1,1,2
26,1,6,2
27,1,7,2
28,1,12,1
29,1,13,1
30,2,12,1
31,2,13,1
32,2,14,1
33,2,15,1
34,3,12,1
35,3,13,1
36,3,14,1
37,3,15,1
38,3,16,1
39,3,17,1
40,3,12,2
41,3,13,2
42,3,14,2
43,3,15,2
44,3,16,2
45,3,17,2
46,3,18,2
47,3,19,2
48,3,20,2
49,3,21,2
50,3,22,2
51,3,23,2
52,1,12,2
53,1,13,2
54,1,18,2
55,1,19,2
56-63,Reserved,Reserved,Reserved
