"One codeword:Codeword 0 enabled,Codeword 1 disabled",,,,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",,,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols,Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,0,1,0,3,0-4,1
1,1,1,1,1,3,0-5,1
2,1,"0,1",1,2,2,"0,1,2,3,12",1
3,2,0,1,3,2,"0-3,12,14",1
4,2,1,1,4,2,"0-3,12-14",1
5,2,2,1,5,2,"0-3,12-15",1
6,2,3,1,6,3,"0,1,2,3,12",1
7,2,"0,1",1,7,3,"0-3,12,14",1
8,2,"2,3",1,8,3,"0-3,12-14",1
9,2,0-2,1,9,3,"0-3,12-15",1
10,2,0-3,1,10,2,"0,1,2,3,6",2
11,3,0,1,11,2,"0,1,2,3,6,8",2
12,3,1,1,12,2,"0,1,2,3,6,7,8",2
13,3,2,1,13,2,"0,1,2,3,6,7,8,9",2
14,3,3,1,14,1,"0,1,6,7,12",2
15,3,4,1,15,1,"0,1,6,7,12,18",2
16,3,5,1,16,1,"0,1,6,7,12,13,18",2
17,3,"0,1",1,17,1,"0,1,6,7,12,13,18,19",2
18,3,"2,3",1,18,2,"0,1,6,7,12",2
19,3,"4,5",1,19,2,"0,1,6,7,12,18",2
20,3,0-2,1,20,2,"0,1,6,7,12,13,18",2
21,3,3-5,1,21,2,"0,1,6,7,12,13,18,19",2
22,3,0-3,1,22,3,"0,1,6,7,12",2
23,2,"0,2",1,23,3,"0,1,6,7,12,18",2
24,1,12,1,24,3,"0,1,6,7,12,13,18",2
25,1,13,1,25,3,"0,1,6,7,12,13,18,19",2
26,1,"12,13",1,26~255,Reserved,Reserved,Reserved
27,2,12,1,,,,
28,2,13,1,,,,
29,2,14,1,,,,
30,2,15,1,,,,
31,2,"12,13",1,,,,
32,2,"14,15",1,,,,
33,3,12,1,,,,
34,3,13,1,,,,
35,3,14,1,,,,
36,3,15,1,,,,
37,3,16,1,,,,
38,3,17,1,,,,
39,3,"12,13",1,,,,
40,3,"14,15",1,,,,
41,3,"16,17",1,,,,
42,1,"0,1,12",1,,,,
43,1,"0,1,12,13",1,,,,
44,2,"0,1,12",1,,,,
45,2,"0,1,12,13",1,,,,
46,2,"2,3,14",1,,,,
47,2,"2,3,14,15",1,,,,
48,3,"0,1,12",1,,,,
49,3,"0,1,12,13",1,,,,
50,3,"2,3,14",1,,,,
51,3,"2,3,14,15",1,,,,
52,3,"4,5,16",1,,,,
53,3,"4,5,16,17",1,,,,
54,3,0,2,,,,
55,3,1,2,,,,
56,3,2,2,,,,
57,3,3,2,,,,
58,3,4,2,,,,
59,3,5,2,,,,
60,3,6,2,,,,
61,3,7,2,,,,
62,3,8,2,,,,
63,3,9,2,,,,
64,3,10,2,,,,
65,3,11,2,,,,
66,3,"0,1",2,,,,
67,3,"2,3",2,,,,
68,3,"4,5",2,,,,
69,3,"6,7",2,,,,
70,3,"8,9",2,,,,
71,3,"10,11",2,,,,
72,3,"0,1,6",2,,,,
73,3,"2,3,8",2,,,,
74,3,"4,5,10",2,,,,
75,3,"0,1,6,7",2,,,,
76,3,"2,3,8,9",2,,,,
77,3,"4,5,10,11",2,,,,
78,1,0,2,,,,
79,1,1,2,,,,
80,1,6,2,,,,
81,1,7,2,,,,
82,1,"0,1",2,,,,
83,1,"6,7",2,,,,
84,2,"0,1",2,,,,
85,2,"2,3",2,,,,
86,2,"6,7",2,,,,
87,2,"8,9",2,,,,
88,3,12,2,,,,
89,3,13,2,,,,
90,3,14,2,,,,
91,3,15,2,,,,
92,3,16,2,,,,
93,3,17,2,,,,
94,3,18,2,,,,
95,3,19,2,,,,
96,3,20,2,,,,
97,3,21,2,,,,
98,3,22,2,,,,
99,3,23,2,,,,
100,3,"12,13",2,,,,
101,3,"14,15",2,,,,
102,3,"16,17",2,,,,
103,3,"18,19",2,,,,
104,3,"20,21",2,,,,
105,3,"22,23",2,,,,
106,1,12,2,,,,
107,1,13,2,,,,
108,1,18,2,,,,
109,1,19,2,,,,
110,1,"12,13",2,,,,
111,1,"18,19",2,,,,
112,2,"12,13",2,,,,
113,2,"14,15",2,,,,
114,2,"18,19",2,,,,
115,2,"20,21",2,,,,
116,2,"0,1,12",2,,,,
117,2,"0,1,12,13",2,,,,
118,2,"6,7,18",2,,,,
119,2,"6,7,18,19",2,,,,
120,2,"2,3,14",2,,,,
121,2,"2,3,14,15",2,,,,
122,2,"8,9,20",2,,,,
123,2,"8,9,20,21",2,,,,
124,3,"0,1,12",2,,,,
125,3,"0,1,12,13",2,,,,
126,3,"6,7,18",2,,,,
127,3,"6,7,18,19",2,,,,
128,3,"2,3,14",2,,,,
129,3,"2,3,14,15",2,,,,
130,3,"8,9,20",2,,,,
131,3,"8,9,20,21",2,,,,
132,3,"4,5,16",2,,,,
133,3,"4,5,16,17",2,,,,
134,3,"10,11,22",2,,,,
135,3,"10,11,22,23",2,,,,
136-255,Reserved,Reserved,Reserved,,,,
