"One Codeword:Codeword 0 enabled,Codeword 1 disabled",,,,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",,,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols,Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,0,1,0,2,0-4,2
1,1,1,1,1,2,"0,1,2,3,4,6",2
2,1,"0,1",1,2,2,"0,1,2,3,4,5,6",2
3,2,0,1,3,2,"0,1,2,3,4,5,6,7",2
4,2,1,1,4-31,reserved,reserved,reserved
5,2,2,1,,,,
6,2,3,1,,,,
7,2,"0,1",1,,,,
8,2,"2,3",1,,,,
9,2,0-2,1,,,,
10,2,0-3,1,,,,
11,2,"0,2",1,,,,
12,2,0,2,,,,
13,2,1,2,,,,
14,2,2,2,,,,
15,2,3,2,,,,
16,2,4,2,,,,
17,2,5,2,,,,
18,2,6,2,,,,
19,2,7,2,,,,
20,2,"0,1",2,,,,
21,2,"2,3",2,,,,
22,2,"4,5",2,,,,
23,2,"6,7",2,,,,
24,2,"0,4",2,,,,
25,2,"2,6",2,,,,
26,2,"0,1,4",2,,,,
27,2,"2,3,6",2,,,,
28,2,"0,1,4,5",2,,,,
29,2,"2,3,6,7",2,,,,
30,2,"0,2,4,6",2,,,,
31,2,"0,2,3",1,,,,
