,Information field  for wideband PMI,,,Information field  for wideband PMIor per subband PMI,
,"(,)",,,,
,codebookMode=1,codebookMode=2,,codebookMode=1,codebookMode=2
"Rank = 1 with >2 CSI-RS ports,","(,)","(,)",N/A,2,4
"Rank = 1 with >2 CSI-RS ports,","(,)","(, 0)",N/A,2,4
"Rank=2 with 4 CSI-RS ports,","(,)","(, 0)",1,1,3
"Rank=2 with >4 CSI-RS ports,","(,)","(,)",2,1,3
"Rank=2 with >4 CSI-RS ports,","(,)","(, 0)",2,1,3
"Rank=3 or 4, with 4 CSI-RS ports","(,)",,0,1,
"Rank=3 or 4, with 8 or 12 CSI-RS ports","(,)",,2,1,
"Rank=3 or 4 , with >=16 CSI-RS ports","(, )",,2,1,
Rank=5 or 6,"(,)",,N/A,1,
"Rank=7 or 8,","(, )",,N/A,1,
"Rank=7 or 8,","(,)",,N/A,1,
"Rank=7 or 8, with  or or","(,)",,N/A,1,
