"One Codeword:Codeword 0 enabled,Codeword 1 disabled",,,,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",,,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols,Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,0,1,0,2,"0,1,2,3,8",1
1,1,1,1,1,2,"0,1,2,3,8,10",1
2,1,"0,1",1,2,2,"0,1,2,3,8,9,10",1
3,2,0,1,3,2,"0,1,2,3,8,9,10,11",1
4,2,1,1,4,2,0-4,2
5,2,2,1,5,2,"0,1,2,3,4,6",2
6,2,3,1,6,2,"0,1,2,3,4,5,6",2
7,2,"0,1",1,7,2,"0,1,2,3,4,5,6,7",2
8,2,"2,3",1,8,1,"0,1,4,5,8",2
9,2,0-2,1,9,1,"0,1,4,5,8,12",2
10,2,0-3,1,10,1,"0,1,4,5,8,9,12",2
11,2,"0,2",1,11,1,"0,1,4,5,8,9,12,13",2
12,1,8,1,12,2,"0,1,4,5,8",2
13,1,9,1,13,2,"0,1,4,5,8,12",2
14,1,"8,9",1,14,2,"0,1,4,5,8,9,12",2
15,2,8,1,15,2,"0,1,4,5,8,9,12,13",2
16,2,9,1,16~127,Reserved,Reserved,Reserved
17,2,10,1,,,,
18,2,11,1,,,,
19,2,"8,9",1,,,,
20,2,"10,11",1,,,,
21,1,"0,1,8",1,,,,
22,1,"0,1,8,9",1,,,,
23,2,"0,1,8",1,,,,
24,2,"0,1,8,9",1,,,,
25,2,"2,3,10",1,,,,
26,2,"2,3,10,11",1,,,,
27,2,0,2,,,,
28,2,1,2,,,,
29,2,2,2,,,,
30,2,3,2,,,,
31,2,4,2,,,,
32,2,5,2,,,,
33,2,6,2,,,,
34,2,7,2,,,,
35,2,"0,1",2,,,,
36,2,"2,3",2,,,,
37,2,"4,5",2,,,,
38,2,"6,7",2,,,,
39,2,"0,4",2,,,,
40,2,"2,6",2,,,,
41,2,"0,1,4",2,,,,
42,2,"2,3,6",2,,,,
43,2,"0,1,4,5",2,,,,
44,2,"2,3,6,7",2,,,,
45,2,"0,2,4,6",2,,,,
46,2,8,2,,,,
47,2,9,2,,,,
48,2,10,2,,,,
49,2,11,2,,,,
50,2,12,2,,,,
51,2,13,2,,,,
52,2,14,2,,,,
53,2,15,2,,,,
54,2,"8,9",2,,,,
55,2,"10,11",2,,,,
56,2,"12,13",2,,,,
57,2,"14,15",2,,,,
58,2,"0,1,8",2,,,,
59,2,"0,1,8,9",2,,,,
60,2,"4,5,12",2,,,,
61,2,"4,5,12,13",2,,,,
62,2,"2,3,10",2,,,,
63,2,"2,3,10,11",2,,,,
64,2,"6,7,14",2,,,,
65,2,"6,7,14,15",2,,,,
66,2,"0,2,3",1,,,,
67-127,Reserved,Reserved,Reserved,,,,
