"One codeword:Codeword 0 enabled,Codeword 1 disabled",,,,"Two Codewords:Codeword 0 enabled,Codeword 1 enabled",,,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols,Value,Number of DMRS CDM group(s) without data,DMRS port(s),Number of front-load symbols
0,1,0,1,0,3,0-4,1
1,1,1,1,1,3,0-5,1
2,1,"0,1",1,2,2,"0,1,2,3,6",2
3,2,0,1,3,2,"0,1,2,3,6,8",2
4,2,1,1,4,2,"0,1,2,3,6,7,8",2
5,2,2,1,5,2,"0,1,2,3,6,7,8,9",2
6,2,3,1,6-63,Reserved,Reserved,Reserved
7,2,"0,1",1,,,,
8,2,"2,3",1,,,,
9,2,0-2,1,,,,
10,2,0-3,1,,,,
11,3,0,1,,,,
12,3,1,1,,,,
13,3,2,1,,,,
14,3,3,1,,,,
15,3,4,1,,,,
16,3,5,1,,,,
17,3,"0,1",1,,,,
18,3,"2,3",1,,,,
19,3,"4,5",1,,,,
20,3,0-2,1,,,,
21,3,3-5,1,,,,
22,3,0-3,1,,,,
23,2,"0,2",1,,,,
24,3,0,2,,,,
25,3,1,2,,,,
26,3,2,2,,,,
27,3,3,2,,,,
28,3,4,2,,,,
29,3,5,2,,,,
30,3,6,2,,,,
31,3,7,2,,,,
32,3,8,2,,,,
33,3,9,2,,,,
34,3,10,2,,,,
35,3,11,2,,,,
36,3,"0,1",2,,,,
37,3,"2,3",2,,,,
38,3,"4,5",2,,,,
39,3,"6,7",2,,,,
40,3,"8,9",2,,,,
41,3,"10,11",2,,,,
42,3,"0,1,6",2,,,,
43,3,"2,3,8",2,,,,
44,3,"4,5,10",2,,,,
45,3,"0,1,6,7",2,,,,
46,3,"2,3,8,9",2,,,,
47,3,"4,5,10,11",2,,,,
48,1,0,2,,,,
49,1,1,2,,,,
50,1,6,2,,,,
51,1,7,2,,,,
52,1,"0,1",2,,,,
53,1,"6,7",2,,,,
54,2,"0,1",2,,,,
55,2,"2,3",2,,,,
56,2,"6,7",2,,,,
57,2,"8,9",2,,,,
58-63,Reserved,Reserved,Reserved,,,,
