i,"Mi,0","Mi,1","Mi,2","Mi,3","Mi,4","Mi,5","Mi,6","Mi,7","Mi,8","Mi,9","Mi,10"
0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,0,0,0,1,1
2,1,0,0,1,0,0,1,0,1,1,1
3,1,0,1,1,0,0,0,0,1,0,1
4,1,1,1,1,0,0,0,1,0,0,1
5,1,1,0,0,1,0,1,1,1,0,1
6,1,0,1,0,1,0,1,0,1,1,1
7,1,0,0,1,1,0,0,1,1,0,1
8,1,1,0,1,1,0,0,1,0,1,1
9,1,0,1,1,1,0,1,0,0,1,1
10,1,0,1,0,0,1,1,1,0,1,1
11,1,1,1,0,0,1,1,0,1,0,1
12,1,0,0,1,0,1,0,1,1,1,1
13,1,1,0,1,0,1,0,1,0,1,1
14,1,0,0,0,1,1,0,1,0,0,1
15,1,1,0,0,1,1,1,1,0,1,1
16,1,1,1,0,1,1,1,0,0,1,0
17,1,0,0,1,1,1,0,0,1,0,0
18,1,1,0,1,1,1,1,1,0,0,0
19,1,0,0,0,0,1,1,0,0,0,0
20,1,0,1,0,0,0,1,0,0,0,1
21,1,1,0,1,0,0,0,0,0,1,1
22,1,0,0,0,1,0,0,1,1,0,1
23,1,1,1,0,1,0,0,0,1,1,1
24,1,1,1,1,1,0,1,1,1,1,0
25,1,1,0,0,0,1,1,1,0,0,1
26,1,0,1,1,0,1,0,0,1,1,0
27,1,1,1,1,0,1,0,1,1,1,0
28,1,0,1,0,1,1,1,0,1,0,0
29,1,0,1,1,1,1,1,1,1,0,0
30,1,1,1,1,1,1,1,1,1,1,1
31,1,0,0,0,0,0,0,0,0,0,0
