"One codeword:Codeword 0 enabled,Codeword 1 disabled",,,"Two codewords:Codeword 0 enabled,Codeword 1 enabled",,
Value,Number of DMRS CDM group(s) without data,DMRS port(s),Value,Number of DMRS CDM group(s) without data,DMRS port(s)
0,1,0,0,3,0-4
1,1,1,1,3,0-5
2,1,"0,1",2-31,reserved,reserved
3,2,0,,,
4,2,1,,,
5,2,2,,,
6,2,3,,,
7,2,"0,1",,,
8,2,"2,3",,,
9,2,0-2,,,
10,2,0-3,,,
11,3,0,,,
12,3,1,,,
13,3,2,,,
14,3,3,,,
15,3,4,,,
16,3,5,,,
17,3,"0,1",,,
18,3,"2,3",,,
19,3,"4,5",,,
20,3,0-2,,,
21,3,3-5,,,
22,3,0-3,,,
23,2,"0,2",,,
24,2,"0,2,3",,,
25-31,Reserved,Reserved,,,
