Entry index,Channel Access Type,"The CP extension T_""ext""  index defined in Clause 5.3.1 of [4, 38.211]",CAPC
0,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],0,1
1,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],0,2
2,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],0,3
3,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],0,4
4,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2,1
5,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2,2
6,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2,3
7,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2,4
8,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],0,1
9,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],0,2
10,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],0,3
11,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],0,4
12,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],2,1
13,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],2,2
14,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],2,3
15,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],2,4
16,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],0,1
17,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],0,2
18,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],0,3
19,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],0,4
20,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1,1
21,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1,2
22,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1,3
23,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1,4
24,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3,1
25,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3,2
26,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3,3
27,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3,4
28,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0,1
29,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0,2
30,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0,3
31,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0,4
32,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],1,1
33,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],1,2
34,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],1,3
35,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],1,4
36,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],2,1
37,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],2,2
38,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],2,3
39,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],2,4
40,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],3,1
41,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],3,2
42,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],3,3
43,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],3,4
