Bit field mapped to index,Scheduled cells
0,The cells configured by the 1st entry in scheduledCellComboListDCI-1-3
1,The cells configured by the 2nd entry in scheduledCellComboListDCI-1-3
2,"The cells configured by the 3rd entry in scheduledCellComboListDCI-1-3, if any"
3,"The cells configured by the 4th entry in scheduledCellComboListDCI-1-3, if any"
4,"The cells configured by the 5th entry in scheduledCellComboListDCI-1-3, if any"
5,"The cells configured by the 6th entry in scheduledCellComboListDCI-1-3, if any"
6,"The cells configured by the 7th entry in scheduledCellComboListDCI-1-3, if any"
7,"The cells configured by the 8th entry in scheduledCellComboListDCI-1-3, if any"
8,"The cells configured by the 9th entry in scheduledCellComboListDCI-1-3, if any"
9,"The cells configured by the 10th entry in scheduledCellComboListDCI-1-3, if any"
10,"The cells configured by the 11th entry in scheduledCellComboListDCI-1-3, if any"
11,The cells configured by the 12th entry in scheduledCellComboListDCI-1-3 if any
12,"The cells configured by the 13th entry in scheduledCellComboListDCI-1-3, if any"
13,"The cells configured by the 14th entry in scheduledCellComboListDCI-1-3, if any"
14,"The cells configured by the 15th entry in scheduledCellComboListDCI-1-3, if any"
15,"The cells configured by the 16th entry in scheduledCellComboListDCI-1-3, if any"
