CSI report number,CSI fields
CSI report #n,"CRI or SSBRI #1 as in Table 6.3.1.1.2-6A, if reported"
,"CRI or SSBRI #2 as in Table 6.3.1.1.2-6A, if reported"
,"CRI or SSBRI #3 as in Table 6.3.1.1.2-6A, if reported"
,"CRI or SSBRI #4 as in Table 6.3.1.1.2-6A, if reported"
,"SINR #1 as in Table 6.3.1.1.2-6A, if reported"
,"Differential SINR #2 as in Table 6.3.1.1.2-6A, if reported"
,"Differential SINR #3 as in Table 6.3.1.1.2-6A, if reported"
,"Differential SINR #4 as in Table 6.3.1.1.2-6A, if reported"
,"CapabilityIndex #1 as in Table 6.3.1.1.2-6, if reported"
,"CapabilityIndex #2 as in Table 6.3.1.1.2-6, if reported"
,"CapabilityIndex #3 as in Table 6.3.1.1.2-6, if reported"
,"CapabilityIndex #4 as in Table 6.3.1.1.2-6, if reported"
