,Information fields for wideband,,,,,Information fields  for wideband or per subband,,,
,"(,)",,,,,,,,
Rank=1 with codebookMode=1,"(,)",N/A,2,N/A,N/A,2,N/A,N/A,N/A
Rank=1 with codebookMode=1,"(,)",N/A,2,2,2,2,N/A,N/A,N/A
"Rank=2 with , codebookMode=1","(,)",1,2,N/A,N/A,1,N/A,N/A,N/A
"Rank=3 or 4 with , codebookMode=1","(,)",0,2,N/A,N/A,1,N/A,N/A,N/A
"Rank=2 or 3 or 4 with , codebookMode=1","(,)",2,2,N/A,N/A,1,N/A,N/A,N/A
"Rank=2 with , codebookMode=1","(,)",1,2,2,2,1,N/A,N/A,N/A
"Rank=3 or 4 with , codebookMode=1","(,)",0,2,2,2,1,N/A,N/A,N/A
"Rank=2 or 3 or 4 with , codebookMode=1","(,)",2,2,2,2,1,N/A,N/A,N/A
Rank=1 with codebookMode=2,"(,)",N/A,2,2,N/A,N/A,2,1,1
"Rank=2 with , codebookMode=2","(,)",1,2,2,N/A,N/A,1,1,1
"Rank=3 or 4 with , codebookMode=2","(,)",0,2,2,N/A,N/A,1,1,1
"Rank=2 or 3 or 4 with , codebookMode=2","(,)",2,2,2,N/A,N/A,1,1,1
