Entry index,Channel Access Type,"The CP extension Text  index defined in Clause 5.3.1 of [4,TS 38.211]"
0,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],0
1,Type2C-ULChannelAccess  defined in clause 4.2.1.2.3 in TS 37.213 [14],2
2,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],0
3,Type2B-ULChannelAccess  defined in clause 4.2.1.2.2 in TS 37.213 [14],2
4,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],0
5,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],1
6,Type2A-ULChannelAccess defined in clause 4.2.1.2.1 in TS 37.213 [14],3
7,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],0
8,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],1
9,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],2
10,Type1-ULChannelAccess defined in clause 4.2.1.1 in TS 37.213 [14],3
