RNTI,Usage,Transport Channel,Logical Channel
P-RNTI,Paging and System Information change notification,PCH,PCCH
SI-RNTI,Broadcast of System Information,DL-SCH,BCCH
RA-RNTI,Random Access Response,DL-SCH,N/A
MSGB-RNTI,Random Access Response for 2-step RA type,DL-SCH,"CCCH, DCCH, DTCH"
Temporary C-RNTI,Contention Resolution(when no valid C-RNTI is available),DL-SCH,"CCCH, DCCH, DTCH"
Temporary C-RNTI,Msg3 transmission,UL-SCH,"CCCH, DCCH, DTCH"
"C-RNTI, MCS-C-RNTI",Dynamically scheduled unicast transmission,UL-SCH,"DCCH, DTCH"
C-RNTI,Dynamically scheduled unicast transmission,DL-SCH,"CCCH, DCCH, DTCH"
NCR-RNTI,Transmission of Side Control Information for NCR operation,N/A,N/A
MCS-C-RNTI,Dynamically scheduled unicast transmission,DL-SCH,"DCCH, DTCH"
C-RNTI,Triggering of PDCCH ordered random access,N/A,N/A
C-RNTI,Dynamically scheduled PTP retransmission for initial PTM transmission for multicast MBS.,DL-SCH,MTCH
CG-SDT-CS-RNTI,Dynamically scheduled unicast transmission(retransmission),UL-SCH,"CCCH, DCCH, DTCH"
CS-RNTI,"Configured scheduled unicast transmission(activation, reactivation and retransmission)","DL-SCH, UL-SCH","DCCH, DTCH"
CS-RNTI,Configured scheduled unicast transmission(deactivation),N/A,N/A
CS-RNTI,Configured scheduled unicast transmission(PTP retransmission for initial PTM transmission),DL-SCH,MTCH
CS-RNTI,Configured scheduled unicast transmission(MBS SPS deactivation),N/A,N/A
G-CS-RNTI,"Configured scheduled multicast transmission(activation, reactivation and retransmission)",DL-SCH,MTCH
G-CS-RNTI,Configured scheduled multicast transmission (deactivation),N/A,N/A
TPC-PUCCH-RNTI,PUCCH power control,N/A,N/A
TPC-PUSCH-RNTI,PUSCH power control,N/A,N/A
TPC-SRS-RNTI,SRS trigger and power control,N/A,N/A
INT-RNTI,Indication pre-emption in DL,N/A,N/A
SFI-RNTI,Slot Format Indication on the given cell,N/A,N/A
SP-CSI-RNTI,Activation of Semi-persistent CSI reporting on PUSCH,N/A,N/A
CI-RNTI,Cancellation indication in UL,N/A,N/A
PS-RNTI,DCP to indicate whether to start drx-onDurationTimer for associated DRX cycle,N/A,N/A
SL-RNTI,Dynamically scheduled sidelink transmission,SL-SCH,"SCCH, STCH"
SL-CS-RNTI,"Configured scheduled sidelink transmission(activation, reactivation and retransmission)",SL-SCH,"SCCH, STCH"
SL-CS-RNTI,Configured scheduled sidelink transmission(deactivation),N/A,N/A
SL-PRS-RNTI,Dynamically scheduled sidelink PRS transmission,N/A,N/A
SL-PRS-CS-RNTI,Configured scheduled sidelink PRS transmission (activation and reactivation),N/A,N/A
SL-PRS-CS-RNTI,Configured scheduled sidelink PRS transmission (deactivation),N/A,N/A
SL Semi-Persistent Scheduling V-RNTI (NOTE 2),"Semi-Persistently scheduled sidelink transmission for V2X sidelink communication(activation, reactivation and retransmission)",SL-SCH,STCH
SL Semi-Persistent Scheduling V-RNTI(NOTE 2),Semi-Persistently scheduled sidelink transmission for V2X sidelink communication(deactivation),N/A,N/A
AI-RNTI,Availability indication on the given cell,N/A,N/A
G-RNTI,Dynamically scheduled MBS PTM transmission,DL-SCH,MTCH
MCCH-RNTI,Dynamically scheduled MCCH signalling and MCCH change notification for MBS broadcast,DL-SCH,MCCH
PEI-RNTI,Paging Early Indication,N/A,N/A
Multicast MCCH-RNTI,Dynamically scheduled MCCH signalling and MCCH change notification for MBS multicast in RRC_INACTIVE,DL-SCH,MCCH
cellDTRX-RNTI,Network energy saving indication,N/A,N/A
adapt-SSB-PeriodicityIndication-RNTI,SSB burst periodicity switching for Scell(s).,N/A,N/A
NOTE 1:The usage of MCS-C-RNTI is equivalent to that of C-RNTI in MAC procedures (except for the C-RNTI MAC CE).NOTE 2:The MAC entity uses SL Semi-Persistent Scheduling V-RNTI to control semi-persistently scheduled sidelink transmission on SL-SCH for V2X sidelink communication as specified in clause 5.14.1.1 of TS 36.321 [22].NOTE 3:The usage of CG-SDT-CS-RNTI is equivalent to that of CS-RNTI when there is an CG-SDT procedure ongoing.,,,
