Index,Bit Rate,Index,Bit Rate,Index,Bit Rate,Index,Bit Rate
0,0,64,≤ 455,128,≤ 2124,192,≤ 9907
1,≤ 100,65,≤ 466,129,≤ 2176,193,≤ 10149
2,≤ 102,66,≤ 478,130,≤ 2229,194,≤ 10396
3,≤ 105,67,≤ 489,131,≤ 2283,195,≤ 10649
4,≤ 107,68,≤ 501,132,≤ 2339,196,≤ 10908
5,≤ 110,69,≤ 514,133,≤ 2396,197,≤ 11174
6,≤ 113,70,≤ 526,134,≤ 2454,198,≤ 11446
7,≤ 116,71,≤ 539,135,≤ 2514,199,≤ 11725
8,≤ 118,72,≤ 552,136,≤ 2575,200,≤ 12010
9,≤ 121,73,≤ 565,137,≤ 2638,201,≤ 12303
10,≤ 124,74,≤ 579,138,≤ 2702,202,≤ 12603
11,≤ 127,75,≤ 593,139,≤ 2768,203,≤ 12909
12,≤ 130,76,≤ 608,140,≤ 2835,204,≤ 13224
13,≤ 133,77,≤ 623,141,≤ 2904,205,≤ 13546
14,≤ 137,78,≤ 638,142,≤ 2975,206,≤ 13876
15,≤ 140,79,≤ 653,143,≤ 3047,207,≤ 14214
16,≤ 143,80,≤ 669,144,≤ 3121,208,≤ 14560
17,≤ 147,81,≤ 685,145,≤ 3197,209,≤ 14914
18,≤ 151,82,≤ 702,146,≤ 3275,210,≤ 15278
19,≤ 154,83,≤ 719,147,≤ 3355,211,≤ 15650
20,≤ 158,84,≤ 737,148,≤ 3437,212,≤ 16031
21,≤ 162,85,≤ 755,149,≤ 3521,213,≤ 16421
22,≤ 166,86,≤ 773,150,≤ 3606,214,≤ 16821
23,≤ 170,87,≤ 792,151,≤ 3694,215,≤ 17231
24,≤ 174,88,≤ 811,152,≤ 3784,216,≤ 17651
25,≤ 178,89,≤ 831,153,≤ 3876,217,≤ 18080
26,≤ 182,90,≤ 851,154,≤ 3971,218,≤ 18521
27,≤ 187,91,≤ 872,155,≤ 4067,219,≤ 18972
28,≤ 191,92,≤ 893,156,≤ 4166,220,≤ 19434
29,≤ 196,93,≤ 915,157,≤ 4268,221,≤ 19907
30,≤ 201,94,≤ 937,158,≤ 4372,222,≤ 20392
31,≤ 206,95,≤ 960,159,≤ 4478,223,≤ 20889
32,≤ 211,96,≤ 983,160,≤ 4587,224,≤ 21397
33,≤ 216,97,≤ 1007,161,≤ 4699,225,≤ 21918
34,≤ 221,98,≤ 1032,162,≤ 4813,226,≤ 22452
35,≤ 227,99,≤ 1057,163,≤ 4931,227,≤ 22999
36,≤ 232,100,≤ 1083,164,≤ 5051,228,≤ 23559
37,≤ 238,101,≤ 1109,165,≤ 5174,229,≤ 24133
38,≤ 244,102,≤ 1136,166,≤ 5300,230,≤ 24721
39,≤ 250,103,≤ 1164,167,≤ 5429,231,≤ 25323
40,≤ 256,104,≤ 1192,168,≤ 5561,232,≤ 25939
41,≤ 262,105,≤ 1221,169,≤ 5696,233,≤ 26571
42,≤ 268,106,≤ 1251,170,≤ 5835,234,≤ 27218
43,≤ 275,107,≤ 1281,171,≤ 5977,235,≤ 27881
44,≤ 281,108,≤ 1313,172,≤ 6123,236,≤ 28560
45,≤ 288,109,≤ 1345,173,≤ 6272,237,≤ 29256
46,≤ 295,110,≤ 1377,174,≤ 6425,238,≤ 29968
47,≤ 302,111,≤ 1411,175,≤ 6581,239,≤ 30698
48,≤ 310,112,≤ 1445,176,≤ 6742,240,≤ 31446
49,≤ 317,113,≤ 1480,177,≤ 6906,241,≤ 32211
50,≤ 325,114,≤ 1517,178,≤ 7074,242,≤ 32996
51,≤ 333,115,≤ 1553,179,≤ 7246,243,≤ 33799
52,≤ 341,116,≤ 1591,180,≤ 7423,244,≤ 34623
53,≤ 349,117,≤ 1630,181,≤ 7603,245,≤ 35466
54,≤ 358,118,≤ 1670,182,≤ 7789,246,≤ 36330
55,≤ 367,119,≤ 1710,183,≤ 7978,247,≤ 37214
56,≤ 376,120,≤ 1752,184,≤ 8173,248,≤ 38121
57,≤ 385,121,≤ 1795,185,≤ 8372,249,≤ 39049
58,≤ 394,122,≤ 1838,186,≤ 8575,250,≤ 40000
59,≤ 404,123,≤ 1883,187,≤ 8784,251,Reserved
60,≤ 414,124,≤ 1929,188,≤ 8998,252,Reserved
61,≤ 424,125,≤ 1976,189,≤ 9217,253,Reserved
62,≤ 434,126,≤ 2024,190,≤ 9442,254,Reserved
63,≤ 445,127,≤ 2074,191,≤ 9672,255,Reserved
