Codepoint,Index,LCID values
0,(216 + 320),CCCH of size 48 bits for an eRedCap UE
1,(216 + 321),CCCH of size 64 bits for an eRedCap UE
2,(216 + 322),"CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK, except for an (e)RedCap UE"
3,(216 + 323),"CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK, except for an (e)RedCap UE"
4,(216 + 324),CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK of a RedCap UE
5,(216 + 325),CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK of a RedCap UE
6,(216 + 326),CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK of an eRedCap UE
7,(216 + 327),CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK of an eRedCap UE
8,(216 + 328),"CCCH of size 48 bits for PDSCH repetition of Msg4, except for an (e)RedCap UE"
9,(216 + 329),"CCCH of size 64 bits for PDSCH repetition of Msg4, except for an (e)RedCap UE"
10,(216 + 330),CCCH of size 48 bits for PDSCH repetition of Msg4 of a RedCap UE
11,(216 + 331),CCCH of size 64 bits for PDSCH repetition of Msg4 of a RedCap UE
12,(216 + 332),CCCH of size 48 bits for PDSCH repetition of Msg4 of an eRedCap UE
13,(216 + 333),CCCH of size 64 bits for PDSCH repetition of Msg4 of an eRedCap UE
14,(216 + 334),"CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4, except for an (e)RedCap UE"
15,(216 + 335),"CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4, except for an (e)RedCap UE"
16,(216 + 336),CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4 of a RedCap UE
17,(216 + 337),CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4 of a RedCap UE
18,(216 + 338),CCCH of size 48 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4 of an eRedCap UE
19,(216 + 339),CCCH of size 64 bits for PUCCH repetition of Msg4 HARQ-ACK and PDSCH repetition of Msg4 of an eRedCap UE
20 to 63,(216 + 340) to (216 + 383),Reserved
"NOTE 1:The MAC entity may use the code point corresponding to a given feature or feature combination in Table 6.2.1-2c only if network indicates support for the corresponding feature or feature combination.NOTE 2:CCCH of size 48 bits and CCCH of size 64 bits are referred to as CCCH and CCCH1, respectively, in TS 38.331 [5].NOTE 3:For UE capable of PUCCH repetition of Msg4 HARQ-ACK, the MAC entity uses the code points corresponding to PUCCH repetition of Msg4 HARQ-ACK if numberOfMsg4HARQ-ACK-Repetitions is configured and rsrp-ThresholdMsg4HARQ-ACK is not configured, or if both are configured and the RSRP of the downlink pathloss reference is less than rsrp-ThresholdMsg4HARQ-ACK.",,
