Index,NR Recommended Bit Rate value [kbit/s],Index,NR Recommended Bit Rate value [kbit/s]
0,Note 1,32,700
1,0,33,800
2,9,34,900
3,11,35,1000
4,13,36,1100
5,17,37,1200
6,21,38,1300
7,25,39,1400
8,29,40,1500
9,32,41,1750
10,36,42,2000
11,40,43,2250
12,48,44,2500
13,56,45,2750
14,72,46,3000
15,88,47,3500
16,104,48,4000
17,120,49,4500
18,140,50,5000
19,160,51,5500
20,180,52,6000
21,200,53,6500
22,220,54,7000
23,240,55,7500
24,260,56,8000
25,280,57,Reserved
26,300,58,Reserved
27,350,59,Reserved
28,400,60,Reserved
29,450,61,Reserved
30,500,62,Reserved
31,600,63,Reserved
Note 1:For bit rate recommendation message this index is used for indicating that no new recommendation on bit rate is given.,,,
