Index,BS value,Index,BS value,Index,BS Value,Index,BS Value
0,> 4751 and ≤ 5000,64,≤ 17584,128,≤ 61841,192,≤ 217489
1,≤ 5099,65,≤ 17933,129,≤ 63069,193,≤ 221805
2,≤ 5200,66,≤ 18289,130,≤ 64320,194,≤ 226207
3,≤ 5303,67,≤ 18652,131,≤ 65596,195,≤ 230695
4,≤ 5408,68,≤ 19022,132,≤ 66898,196,≤ 235273
5,≤ 5516,69,≤ 19399,133,≤ 68226,197,≤ 239942
6,≤ 5625,70,≤ 19784,134,≤ 69580,198,≤ 244703
7,≤ 5737,71,≤ 20177,135,≤ 70960,199,≤ 249559
8,≤ 5851,72,≤ 20577,136,≤ 72368,200,≤ 254511
9,≤ 5967,73,≤ 20985,137,≤ 73804,201,≤ 259562
10,≤ 6085,74,≤ 21402,138,≤ 75269,202,≤ 264713
11,≤ 6206,75,≤ 21827,139,≤ 76763,203,≤ 269966
12,≤ 6329,76,≤ 22260,140,≤ 78286,204,≤ 275323
13,≤ 6455,77,≤ 22702,141,≤ 79839,205,≤ 280786
14,≤ 6583,78,≤ 23152,142,≤ 81424,206,≤ 286358
15,≤ 6713,79,≤ 23611,143,≤ 83040,207,≤ 292041
16,≤ 6847,80,≤ 24080,144,≤ 84687,208,≤ 297836
17,≤ 6983,81,≤ 24558,145,≤ 86368,209,≤ 303746
18,≤ 7121,82,≤ 25045,146,≤ 88082,210,≤ 309774
19,≤ 7262,83,≤ 25542,147,≤ 89830,211,≤ 315921
20,≤ 7407,84,≤ 26049,148,≤ 91612,212,≤ 322190
21,≤ 7554,85,≤ 26566,149,≤ 93430,213,≤ 328583
22,≤ 7703,86,≤ 27093,150,≤ 95284,214,≤ 335104
23,≤ 7856,87,≤ 27631,151,≤ 97175,215,≤ 341754
24,≤ 8012,88,≤ 28179,152,≤ 99103,216,≤ 348535
25,≤ 8171,89,≤ 28738,153,≤ 101070,217,≤ 355452
26,≤ 8333,90,≤ 29309,154,≤ 103076,218,≤ 362505
27,≤ 8499,91,≤ 29890,155,≤ 105121,219,≤ 369699
28,≤ 8667,92,≤ 30483,156,≤ 107207,220,≤ 377035
29,≤ 8839,93,≤ 31088,157,≤ 109335,221,≤ 384517
30,≤ 9015,94,≤ 31705,158,≤ 111504,222,≤ 392147
31,≤ 9194,95,≤ 32334,159,≤ 113717,223,≤ 399929
32,≤ 9376,96,≤ 32976,160,≤ 115973,224,≤ 407865
33,≤ 9562,97,≤ 33630,161,≤ 118275,225,≤ 415959
34,≤ 9752,98,≤ 34298,162,≤ 120622,226,≤ 424213
35,≤ 9946,99,≤ 34978,163,≤ 123016,227,≤ 432631
36,≤ 10143,100,≤ 35672,164,≤ 125457,228,≤ 441216
37,≤ 10344,101,≤ 36380,165,≤ 127946,229,≤ 449971
38,≤ 10549,102,≤ 37102,166,≤ 130485,230,≤ 458900
39,≤ 10759,103,≤ 37839,167,≤ 133074,231,≤ 468007
40,≤ 10972,104,≤ 38589,168,≤ 135715,232,≤ 477294
41,≤ 11190,105,≤ 39355,169,≤ 138408,233,≤ 486765
42,≤ 11412,106,≤ 40136,170,≤ 141155,234,≤ 496425
43,≤ 11639,107,≤ 40933,171,≤ 143956,235,≤ 506276
44,≤ 11870,108,≤ 41745,172,≤ 146813,236,≤ 516322
45,≤ 12105,109,≤ 42573,173,≤ 149726,237,≤ 526568
46,≤ 12345,110,≤ 43418,174,≤ 152697,238,≤ 537017
47,≤ 12590,111,≤ 44280,175,≤ 155727,239,≤ 547674
48,≤ 12840,112,≤ 45158,176,≤ 158817,240,≤ 558542
49,≤ 13095,113,≤ 46055,177,≤ 161969,241,≤ 569625
50,≤ 13355,114,≤ 46968,178,≤ 165183,242,≤ 580929
51,≤ 13620,115,≤ 47900,179,≤ 168461,243,≤ 592457
52,≤ 13890,116,≤ 48851,180,≤ 171804,244,≤ 604213
53,≤ 14166,117,≤ 49820,181,≤ 175213,245,≤ 616203
54,≤ 14447,118,≤ 50809,182,≤ 178690,246,≤ 628431
55,≤ 14734,119,≤ 51817,183,≤ 182236,247,≤ 640902
56,≤ 15026,120,≤ 52846,184,≤ 185852,248,≤ 653620
57,≤ 15324,121,≤ 53894,185,≤ 189540,249,≤ 666590
58,≤ 15628,122,≤ 54964,186,≤ 193302,250,≤ 679818
59,≤ 15938,123,≤ 56054,187,≤ 197137,251,≤ 693308
60,≤ 16255,124,≤ 57167,188,≤ 201049,252,≤ 707066
61,≤ 16577,125,≤ 58301,189,≤ 205039,253,≤ 721097
62,≤ 16906,126,≤ 59458,190,≤ 209108,254,≤ 735406
63,≤ 17242,127,≤ 60638,191,≤ 213257,255,≤ 750000
