Index,BS value,Index,BS value,Index,BS value,Index,BS value
0,0,64,≤ 560,128,≤ 31342,192,≤ 1754595
1,≤ 10,65,≤ 597,129,≤ 33376,193,≤ 1868488
2,≤ 11,66,≤ 635,130,≤ 35543,194,≤ 1989774
3,≤ 12,67,≤ 677,131,≤ 37850,195,≤ 2118933
4,≤ 13,68,≤ 720,132,≤ 40307,196,≤ 2256475
5,≤ 14,69,≤ 767,133,≤ 42923,197,≤ 2402946
6,≤ 15,70,≤ 817,134,≤ 45709,198,≤ 2558924
7,≤ 16,71,≤ 870,135,≤ 48676,199,≤ 2725027
8,≤ 17,72,≤ 926,136,≤ 51836,200,≤ 2901912
9,≤ 18,73,≤ 987,137,≤ 55200,201,≤ 3090279
10,≤ 19,74,≤ 1051,138,≤ 58784,202,≤ 3290873
11,≤ 20,75,≤ 1119,139,≤ 62599,203,≤ 3504487
12,≤ 22,76,≤ 1191,140,≤ 66663,204,≤ 3731968
13,≤ 23,77,≤ 1269,141,≤ 70990,205,≤ 3974215
14,≤ 25,78,≤ 1351,142,≤ 75598,206,≤ 4232186
15,≤ 26,79,≤ 1439,143,≤ 80505,207,≤ 4506902
16,≤ 28,80,≤ 1532,144,≤ 85730,208,≤ 4799451
17,≤ 30,81,≤ 1631,145,≤ 91295,209,≤ 5110989
18,≤ 32,82,≤ 1737,146,≤ 97221,210,≤ 5442750
19,≤ 34,83,≤ 1850,147,≤ 103532,211,≤ 5796046
20,≤ 36,84,≤ 1970,148,≤ 110252,212,≤ 6172275
21,≤ 38,85,≤ 2098,149,≤ 117409,213,≤ 6572925
22,≤ 40,86,≤ 2234,150,≤ 125030,214,≤ 6999582
23,≤ 43,87,≤ 2379,151,≤ 133146,215,≤ 7453933
24,≤ 46,88,≤ 2533,152,≤ 141789,216,≤ 7937777
25,≤ 49,89,≤ 2698,153,≤ 150992,217,≤ 8453028
26,≤ 52,90,≤ 2873,154,≤ 160793,218,≤ 9001725
27,≤ 55,91,≤ 3059,155,≤ 171231,219,≤ 9586039
28,≤ 59,92,≤ 3258,156,≤ 182345,220,≤ 10208280
29,≤ 62,93,≤ 3469,157,≤ 194182,221,≤ 10870913
30,≤ 66,94,≤ 3694,158,≤ 206786,222,≤ 11576557
31,≤ 71,95,≤ 3934,159,≤ 220209,223,≤ 12328006
32,≤ 75,96,≤ 4189,160,≤ 234503,224,≤ 13128233
33,≤ 80,97,≤ 4461,161,≤ 249725,225,≤ 13980403
34,≤ 85,98,≤ 4751,162,≤ 265935,226,≤ 14887889
35,≤ 91,99,≤ 5059,163,≤ 283197,227,≤ 15854280
36,≤ 97,100,≤ 5387,164,≤ 301579,228,≤ 16883401
37,≤ 103,101,≤ 5737,165,≤ 321155,229,≤ 17979324
38,≤ 110,102,≤ 6109,166,≤ 342002,230,≤ 19146385
39,≤ 117,103,≤ 6506,167,≤ 364202,231,≤ 20389201
40,≤ 124,104,≤ 6928,168,≤ 387842,232,≤ 21712690
41,≤ 132,105,≤ 7378,169,≤ 413018,233,≤ 23122088
42,≤ 141,106,≤ 7857,170,≤ 439827,234,≤ 24622972
43,≤ 150,107,≤ 8367,171,≤ 468377,235,≤ 26221280
44,≤ 160,108,≤ 8910,172,≤ 498780,236,≤ 27923336
45,≤ 170,109,≤ 9488,173,≤ 531156,237,≤ 29735875
46,≤ 181,110,≤ 10104,174,≤ 565634,238,≤ 31666069
47,≤ 193,111,≤ 10760,175,≤ 602350,239,≤ 33721553
48,≤ 205,112,≤ 11458,176,≤ 641449,240,≤ 35910462
49,≤ 218,113,≤ 12202,177,≤ 683087,241,≤ 38241455
50,≤ 233,114,≤ 12994,178,≤ 727427,242,≤ 40723756
51,≤ 248,115,≤ 13838,179,≤ 774645,243,≤ 43367187
52,≤ 264,116,≤ 14736,180,≤ 824928,244,≤ 46182206
53,≤ 281,117,≤ 15692,181,≤ 878475,245,≤ 49179951
54,≤ 299,118,≤ 16711,182,≤ 935498,246,≤ 52372284
55,≤ 318,119,≤ 17795,183,≤ 996222,247,≤ 55771835
56,≤ 339,120,≤ 18951,184,≤ 1060888,248,≤ 59392055
57,≤ 361,121,≤ 20181,185,≤ 1129752,249,≤ 63247269
58,≤ 384,122,≤ 21491,186,≤ 1203085,250,≤ 67352729
59,≤ 409,123,≤ 22885,187,≤ 1281179,251,≤ 71724679
60,≤ 436,124,≤ 24371,188,≤ 1364342,252,≤ 76380419
61,≤ 464,125,≤ 25953,189,≤ 1452903,253,≤ 81338368
62,≤ 494,126,≤ 27638,190,≤ 1547213,254,> 81338368
63,≤ 526,127,≤ 29431,191,≤ 1647644,255,Reserved
