Gap Pattern Id,"Measurement Gap Length(MGL, ms)","Measurement Gap Repetition Period(MGRP, ms)",Applicability
rstd0,10,80,"NOTE 1, 2"
rstd1,10,160,
rstd2,10,320,
rstd3,10,640,
rstd4,10,1280,
rstd5,14,160,"NOTE 1, 2"
rstd6,14,320,
rstd7,14,640,
rstd8,14,1280,
rstd9,24,320,"NOTE 1, 2"
rstd10,24,640,
rstd11,24,1280,
rstd12,32,320,"NOTE 1, 2"
rstd13,32,640,
rstd14,32,1280,
rstd15,54,640,NOTE 2
rstd16,54,1280,
rstd17,64,640,NOTE 2
rstd18,64,1280,
rstd19,80,640,NOTE 3
rstd20,80,1280,
"NOTE 1:For FDD, (MGL-2) shall not be larger than the required minimum number of available measurement subframes specified in Section 9 in the corresponding RSTD measurement accuracy requirements.NOTE 2:For TDD, the number of DL subframes within the available measurement time of the measurement gap shall not be larger than the required minimum number of available measurement subframes specified in Section 9 in the corresponding RSTD measurement accuracy requirements.NOTE 3:At least one cell in the OTDOA assistance data is configured with multiple PRS configurations",,,
