Reported Value,Measured Quantity Value,Unit
RSTD_0000,-15391 > RSTD,Ts
RSTD_0001,-15391  RSTD < -15386,Ts
…,,…
RSTD_2258,-4106  RSTD < -4101,Ts
RSTD_2259,-4101  RSTD < -4096,Ts
RSTD_2260,-4096  RSTD < -4095,Ts
RSTD_2261,-4095  RSTD < -4094,Ts
,,…
RSTD_6353,-3  RSTD  -2,Ts
RSTD_6354,-2  RSTD  -1,Ts
RSTD_6355,-1  RSTD  0,Ts
RSTD_6356,0 < RSTD  1,Ts
RSTD_6357,1 < RSTD  2,Ts
RSTD_6358,2 < RSTD  3,Ts
…,…,…
RSTD_10450,4094 < RSTD  4095,Ts
RSTD_10451,4095 < RSTD  4096,Ts
RSTD_10452,4096 < RSTD  4101,Ts
RSTD_10453,4101 < RSTD  4106,Ts
…,…,…
RSTD_12709,15381 < RSTD  15386,Ts
RSTD_12710,15386 < RSTD  15391,Ts
RSTD_12711,15391 < RSTD,Ts
