Accuracy,Conditions,,,,,,
,PRS Ês/Iot,"Minimum PRSbandwidth, which is minimum of serving cell channel bandwidth and the PRS bandwidths of the reference cell and the measured neighbour cell i Note 4",Minimum number of available measurement subframes among the reference cell and the measured neighbour cell i,The number of consecutive downlink subframes NPRS among the reference cell and the measured neighbour cell i  as defined in [24],Io Note 5 range,,
,,,,,E-UTRA operating band groups Note 6,MinimumIo Note 1,MaximumIo
Ts Note 2,dB,RB,,,,dBm/15kHz,dBm/BWChannel
15Note7,(PRS Ês/Iot)ref ≥-6dBand(PRS Ês/Iot)i ≥-13dB,≥ 6,≥ 12,≥6,"FDD-M1_A, TDD-M1_A",-121,-50
,,,,,FDD-M1_B,-120.5,-50
,,,,,"FDD-M1_C, TDD-M1_C",-120,-50
,,,,,FDD-M1_D,-119.5,-50
,,,,,"FDD-M1_E, TDD-M1_E",-119,-50
,,,,,FDD-M1_F,-118.5,-50
,,,,,FDD-M1_G,-118,-50
,,,,,FDD-M1_H,-117.5,-50
,,,,,FDD-M1_N,-114.5,-50
15 Note8,(PRS Ês/Iot)ref ≥-6dBand(PRS Ês/Iot)i ≥-13dB,≥ 6,≥ 12,≥4,"FDD-M1_A, TDD-M1_A",-121,-50
,,,,,FDD-M1_B,-120.5,-50
,,,,,"FDD-M1_C, TDD-M1_C",-120,-50
,,,,,FDD-M1_D,-119.5,-50
,,,,,"FDD-M1_E, TDD-M1_E",-119,-50
,,,,,FDD-M1_F,-118.5,-50
,,,,,FDD-M1_G,-118,-50
,,,,,FDD-M1_H,-117.5,-50
,,,,,FDD-M1_N,-114.5,-50
"NOTE 1:This minimum Io condition is expressed as the average Io per RE over all REs in an OFDM symbol.NOTE 2:Ts is the basic timing unit defined in TS 36.211 [16].NOTE 3:PRS bandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].NOTE 4:The serving cell, the reference cell, and the measured neighbour cell i are on the same carrier frequency.NOTE 5:The Io is defined in PRS positioning subframes. The same Io range applies to PRS and non-PRS symbols. Io levels are different in PRS and non-PRS symbols within the same subframe.NOTE 6:E-UTRA operating band groups are as defined in Section 3.5.NOTE 7:The requirement applies when PRS are available within the UE measurement bandwidth in all PRS subframes and measurement gaps are not required.NOTE 8:The requirement applies when measurement gaps are required.",,,,,,,
