Parameter,Unit,Cell 1,Cell 2
EARFCN Note1,,Channel 1,N/A
UARFCN Note1,,N/A,Channel 2
CSG indicator,,False,True
Physical cell identityNote1,,1,N/A
Primary scrambling code Note1,,N/A,Scrambling code 2
CSG identity,,Not sent,Sent(Already stored in UE allow-list from previous visit)
Propagation conditions,,"Static, non multipath",
CSG cell previously visited by UE,,Yes,
PBCH_RA,dB,0,N/A
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
PCFICH_RB,dB,,
PHICH_RA,dB,,
PHICH_RB,dB,,
PDCCH_RA,dB,,
PDCCH_RB,dB,,
PDSCH_RA,dB,,
PDSCH_RB,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
Qrxlevmin,dBm,-140,
,dBm/15 kHz,Off,
RSRP Note2,dBm/15 KHz,-110,
CPICH_RSCP Note2,dBm,N/A,-100
CPICH_Ec/Ior,dB,,-10
PCCPCH_Ec/Ior,dB,,-12
SCCPCH_Ec/Ior,dB,,-12
AICH_Ec/Ior,dB,,-15
SCH_Ec/Ior,dB,,-15
PICH_Ec/Ior,dB,,-15
,dBm/3.84 MHz,,Off
"Note 1:For this requirement to be applicable, the EARFCN and physical cell identity for cell 1 and the UARFCN and scrambling code for cell 2 shall be unchanged from when the CSG cell was visited previouslyNote 2:Chosen to ensure that CSG autonomous search has a high probability of success on every attempt made by UE",,,
