Gap Pattern Id,"MeasurementGap Length (MGL, ms)","Measurement Gap Repetition Period(MGRP, ms)","Minimum available time for inter-frequency and inter-RAT measurements during 480ms period(Tinter1, ms)",Measurement Purpose
0,6,40,60,"Inter-Frequency E-UTRAN FDD and TDD, UTRAN FDD, GERAN, LCR TDD, HRPD, CDMA2000 1x, inter-RAT NR"
1,6,80,30,"Inter-Frequency E-UTRAN FDD and TDD, UTRAN FDD, GERAN, LCR TDD, HRPD, CDMA2000 1x, inter-RAT NR"
2,3,40,"24NOTE 1,2",Inter-Frequency E-UTRAN FDD and TDD for cells with time difference as specified below.inter-RAT NR
3,3,80,"12NOTE 1,2",Inter-Frequency E-UTRAN FDD and TDD for cells with time difference according as specified below.inter-RAT NR
4,6,20,120 Note 1,"inter-RAT NR, Inter-Frequency E-UTRAN FDD and TDD Note 6"
5,6,160,Note 3,inter-RAT NR
6,4,20,"72 Note 1, 5, 7","inter-RAT NR, Inter-Frequency E-UTRAN FDD and TDD Note 6"
7,4,40,"36 Note 1, 5, 8","inter-RAT NR, Inter-Frequency E-UTRAN FDD and TDD Note 6"
8,4,80,"18Note 1, 5, 9","inter-RAT NR, Inter-Frequency E-UTRAN FDD and TDD Note 6"
9,4,160,Note 3,inter-RAT NR
10,3,20,"48 Note 1, 5","inter-RAT NR, Inter-Frequency E-UTRAN FDD and TDD Note 6"
11,3,160,Note 3,inter-RAT NR
24,10,80,54Note 1,Inter-Frequency E-UTRAN FDD and TDD Note 11
25,20,160,Note 3,Note 11
"NOTE 1:When determing UE requirements using Tinter1 for GP2, 3, 4, 6, 7, 8, 10, Tinter1 = 60 for GP2, GP4, GP6, GP7, GP10 and Tinter1 = 30 for GP3, GP8 and GP24 shall be used.NOTE 2:Void.NOTE 3:This gap pattern can be used only for measurement of NR carriers, and Tinter is not applicable.NOTE 4:VoidNOTE 5:Void.NOTE 6:This gap pattern is supported by UEs which are configured to perform both E-UTRA inter-frequency measurement and inter-RAT NR measurement or supported by UEs configured to perform inter-RAT NR measurement only.NOTE 7: When this gap pattern is used, the Tinter for E-UTRA interfrequency measurements is 48ms corresponding to the first 3ms of the 4ms gapNOTE 8: When this gap pattern is used, the Tinter for E-UTRA interfrequency measurements is 24ms corresponding to the first 3ms of the 4ms gapNOTE 9: When this gap pattern is used, the Tinter for E-UTRA interfrequency measurements is 12ms corresponding to the first 3ms of the 4ms gap NOTE 10:For UE only supporting measGapPatterns-NRonly-r16 for the corresponding gap patterns among GP2-11, the corresponding gap patterns are only applicable to measurement of inter-RAT NR.NOTE 11: Measurement gap patterns #24 and #25 can be requested by NR PCell [38] only when the UE is configured at least with any of RSTD, UE Rx-Tx, or PRS-RSRP measurements requiring such gaps and can only be used during the corresponding positioning measurement period",,,,
