Group,Band group notation,Operating bands
A,NR_TDD_FR2_A,"n2571, n2581, n2611"
B,NR_TDD_FR2_B,"n2574, n2584, n2614"
C,NR_TDD_FR2_C,
D,NR_TDD_FR2_D,
E,NR_TDD_FR2_E,
F,NR_TDD_FR2_F,n2604
G,NR_TDD_FR2_G,n2601
H,NR_TDD_FR2_H,
I,NR_TDD_FR2_I,
J,NR_TDD_FR2_J,
K,NR_TDD_FR2_K,"n2575,6, n2585,6, n2621, n2616"
L,NR_TDD_FR2_L,"n2572, n2582, n2612"
M,NR_TDD_FR2_M,
N,NR_TDD_FR2_N,n2624
O,NR_TDD_FR2_O,
P,NR_TDD_FR2_P,
Q,NR_TDD_FR2_Q,n2595
R,NR_TDD_FR2_R,
S,NR_TDD_FR2_S,
T,NR_TDD_FR2_T,"n2573, n2583, n2613"
U,NR_TDD_FR2_U,
V,NR_TDD_FR2_V,
W,NR_TDD_FR2_W,n2622
X,NR_TDD_FR2_X,
Y,NR_TDD_FR2_Y,n2603
Z,NR_TDD_FR2_Z,"n2577, n2587, n2617"
AA,NR_TDD_FR2_AA,n2593
AB,NR_TDD_FR2_AB,
AC,NR_TDD_FR2_AC,
AD,NR_TDD_FR2_AD,
AE,NR_TDD_FR2_AE,n2623
NOTE 1:UE power class 1.NOTE 2:UE power class 2.NOTE 3:UE power class 3.NOTE 4:UE power class 4.NOTE 5:UE power class 5.NOTE 6:UE power class 6.NOTE 7:UE power class 7.,,
