Group,NR FDD,,NR TDD,,NR SDL,,NR CCA10,
,Band group notation,Operating bands,Band group notation,Operating bands,Band group notation,Operating bands,Band group notation,Operating bands
A,NR_FDD_FR1_A,"n1, n18, n24, n70, n744, n91, n92, n93, n94, n100, n109, n110",NR_TDD_FR1_A,"n34, n389, n39, n40, n50, n51, n53, n54, n101",NR_SDL_FR1_A,"n67, n75, n76",NR_CCA_FR1_A,-
B,NR_FDD_FR1_B,"n65, n66, n743",NR_TDD_FR1_B,n387,NR_SDL_FR1_B,-,NR_CCA_FR1_B,-
C,NR_FDD_FR1_C,n30,NR_TDD_FR1_C,"n48, n771, n78, n79",NR_SDL_FR1_C,-,NR_CCA_FR1_C,-
D,NR_FDD_FR1_D,"n28, n68",NR_TDD_FR1_D,n772,NR_SDL_FR1_D,-,NR_CCA_FR1_D,-
E,NR_FDD_FR1_E,"n2, n5, n7",NR_TDD_FR1_E,"n41, n90",NR_SDL_FR1_E,-,NR_CCA_FR1_E,-
F,NR_FDD_FR1_F,n266,NR_TDD_FR1_F,-,NR_SDL_FR1_F,-,NR_CCA_FR1_F,-
G,NR_FDD_FR1_G,"n3, n8, n12, n13, n1412,, n20, n71, n85, n10511, n106",NR_TDD_FR1_G,n104,NR_SDL_FR1_G,n29,NR_CCA_FR1_G,-
H,NR_FDD_FR1_H,n25,NR_TDD_FR1_H,-,NR_SDL_FR1_H,-,NR_CCA_FR1_H,-
I,NR_FDD_FR1_I,-,NR_TDD_FR1_I,,NR_SDL_FR1_I,-,NR_CCA_FR1_I,n46
J,NR_FDD_FR1_J,-,NR_TDD_FR1_J,"n478,12",NR_SDL_FR1_J,-,NR_CCA_FR1_J,"n96, n102"
K,NR_FDD_FR1_K,-,NR_TDD_FR1_K,-,NR_SDL_FR1_K,-,NR_CCA_FR1_K,-
L,NR_FDD_FR1_L,-,NR_TDD_FR1_L,-,NR_SDL_FR1_L,-,NR_CCA_FR1_L,-
M,NR_FDD_FR1_M,-,NR_TDD_FR1_M,-,NR_SDL_FR1_M,-,NR_CCA_FR1_M,-
N,NR_FDD_FR1_N,"n31, n72, n87, n88",NR_TDD_FR1_N,-,NR_SDL_FR1_N,-,NR_CCA_FR1_N,-
"NOTE 1:Except 3.8 GHz to 4.2 GHz.NOTE 2:Only 3.8 GHz to 4.2 GHz.NOTE 3:Except 1475.9 MHz to 1510.9 MHz.NOTE 4:Only when the band is confined in 1475.9 MHz to 1510.9 MHz.NOTE 5:These bands are used only in NR carrier aggregation with other NR bands according to NR CA band combinations specified in TS 38.101-1 [18] and TS 38.101-3 [20].NOTE 6:The minimum Io condition is reduced by 0.5 dB when the carrier frequency of the assigned NR channel bandwidth is within 865-894 MHz. NOTE 7:When this band is used for V2X SL service, the band is exclusively used for NR V2X in particular regions [18].NOTE 8:This band is unlicensed band used for V2X service. There is no expected network deployment in this band. [18].NOTE 9:When this band is only used for WAN service.NOTE 10: Operating bands where operation on carrier frequencies with CCA is supported.NOTE 11: The minimum Io condition is reduced by 0.5 dB when the downlink channel overlap the 612-617 MHz frequency range and the channel bandwidth is 5 MHz.NOTE 12: This band can be used for V2X SL operation.",,,,,,,,
