Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.13 FDD,As specified in clause A.3.1.1.3
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,
Final condition,Active cell,,Cell 2,
E-UTRA RF Channel Number,,,1,Only one FDD carrier frequency is used.
Channel Bandwidth (BWchannel),,MHz,10,
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,3000,RRC re-establishment timer
DRX,,,OFF,
CP length,,,Normal,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
PRACH configuration index,,,4,As specified in table 5.7.1-2 in TS 36.211
Time offset between cells,,ms,3,Asynchronous cells
T1,,s,5,
T2,,ms,200,
T3,,s,3,
