Test case,SNR during T3 (dB),,,
,Test 1,Test 2,Test 3,Test 4
A.7.3.1,-17,-17,-15,-15.7
A.7.3.3,-16.6,-16.7,-14.8,-15.4
A.7.3.5,-15.7,-17,N/A,N/A
A.7.3.7,-15.4,-16.6,N/A,N/A
A.7.3.9 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.10 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.13 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.14 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.17 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.18 (cell 1),Note 1,N/A,N/A,N/A
A.7.3.23,-15.7,N/A,N/A,N/A
"Note 1:For 4Rx capable UEs without any 2Rx supported RF bands,this test can be skipped.",,,,
