Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Gap Pattern Id,,,None,No measurement gaps shall be provided.
Initial conditions,Active cell,,Cell 1,
,Neighbour cell,,Cell 2,
Final conditions,Active cell,,Cell 2,
DRX,,,OFF,No DRX configured
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
T1,,s,7,
T2,,s,1,
