Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell1,
,Neighbour cells,,Cell2,
T2 end condition,Active cell,,Cell2,
,Neighbour cells,,Cell1,
Final condition,Visited cell,,Cell1,
E-UTRA RF Channel Number,,,1,Only one TDD carrier frequency is used.
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration index,,,53,As specified in table 5.7.1-3 in TS 36.211
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
T1,,s,>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2"
T2,,s,≤20,T2 need to be defined so that cell re-selection reaction time is taken into account.
T3,,s,≤8,T3 need to be defined so that cell re-selection reaction time is taken into account.
