Parameter,Unit,Cell 3 (UTRA TDD),,,,,,,,,
Timeslot Number,,0,,,,,DwPTS,,,,
,,T0,T1,T2,T3,T4,T0,T1,T2,T3,T4
UTRA RF Channel Number Note1,,"Randomly selected from 4, 5, 6, 7 such that cell 3 is in the reduced performance group",,,,,,,,,
PCCPCH_Ec/Ior,dB,-3,,,,,,,,,
DwPCH_Ec/Ior,dB,,,,,,0,,,,
OCNS_Ec/Ior,dB,-3,,,,,,,,,
,dBm/1.28 MHz,-80,,,,,,,,,
,dB,-3,-3,-3,11,-3,-3,-3,-3,11,-3
PCCPCH RSCP,dBm,-86,-86,-86,-72,-86,n.a.,,,,
Propagation Condition,,AWGN,,,,,,,,,
Qrxlevmin,dBm,-103,,,,,,,,,
"Qoffset1s,n",dB,"C1, C2: 0",,,,,,,,,
Qhyst1s,dB,0,,,,,,,,,
Sprioritysearch1,dB,24 (-79dBm),,,,,,,,,
Sprioritysearch2,dB,0,,,,,,,,,
"Threshx, high Note2",dB,46 (-94dBm),,,,,,,,,
SsearchE-UTRA,dB,Not send,,,,,,,,,
Time offset to cell1,ms,3,,,,,,,,,
Time offset to cell2,μs,3,,,,,,,,,
"Note1: In the case of multi-frequency cell, the UTRA RF Channel Number is the primary frequency’s channel number.Note2:This refers to the value of Threshx, high which is included in UTRA system information, and is a threshold for the E-UTRA target cell",,,,,,,,,,,
