Parameter,Unit,Value
E-UTRA RF Channel Number,,1
BWchannel,MHz,5 or 10
NOCNG Pattern Note 1,-,BWchannel 5MHz: NOP.4 FDDBWchannel 10MHz: NOP.1 FDD
PBCH_RA,dB,-3
PBCH_RB,dB,
PSS_RA,dB,
SSS_RA,dB,
PCFICH_RB,dB,
PHICH_RA,dB,
PHICH_RB,dB,
PDCCH_RA,dB,
PDCCH_RB,dB,
PDSCH_RA,dB,
PDSCH_RB,dB,
OCNG_RA Note 1,dB,
OCNG_RB Note 1,dB,
,dBm/15 kHz,-98
,dB,3
Propagation Condition,-,AWGN
Antenna Configuration,-,2x1
Note 1:OCNG shall be used such that the eCell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,
