Parameter,,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters (E-UTRAN TDD),,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,Cell 1 is on E-UTRA RF channel number 1.
,Neighbour cell,,Cell 2,Cell 2 is on UTRA RF channel number 1.
Final conditions,Active cell,,Cell 2,
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211. Applicable to cell 1.
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211. Applicable to cell 1
E-UTRAN TDD measurement quantity,,,RSRP,
Inter-RAT (UTRA FDD) measurement quantity,,,CPICH Ec/Io,
b2-Threshold1,,dBm,-90,Absolute E-UTRAN RSRP threshold for event B2
b2-Threshold2-UTRA,,dB,-18,UTRAN FDD CPICH Ec/Io threshold for event B2
Hysteresis,,dB,0,
DRX,,,OFF,No DRX configured.
Time to Trigger,,ms,0,
Filter coefficient,,,0,
CP length,,,Normal,Applicable to cell 1
Gap pattern configuration Id,,,0,As specified in Table 8.1.2.1-1; to start before T2 starts
E-UTRA RF Channel Number,,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
UTRA RF Channel Number,,,1,One UTRA FDD carrier frequency is used.
Monitored UTRA FDD cell list size,,,12,UTRA cells on UTRA RF channel 1 provided in the cell list before T2.
Post-verification period,,,False,Post verification is not used.
T1,,s,5,
T2,,s,5,
T3,,s,1,
