Parameter,Unit,Value,,,,
Reference channel,,,,,R.0 FS3,R.1 FS3
Channel bandwidth,MHz,,,,20,20
Number of transmitter antennas,,,,,1,1
Allocated resource blocks (Note 4),,,,,24,24
Allocated subframes per Radio Frame,,,,,10,10
Modulation,,,,,QPSK,QPSK
Target Coding Rate,,,,,1/3,1/3
Information Bit Payload,,,,,,
"For Sub-Frames 4, 9",Bits,,,,2088,2088
For Sub-Frame 5,Bits,,,,2088,2088
For Sub-Frame 0,Bits,,,,2088,2088(Note 7)
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,,,,2088,0
Number of Code Blocks per Sub-Frame(Note 5),,,,,,
"For Sub-Frames 4, 9",,,,,1,1
For Sub-Frame 5,,,,,1,1
For Sub-Frame 0,,,,,1,1
"For Sub-Frame 1, 2, 3, 6, 7, 8",,,,,1,1
Binary Channel Bits Per Sub-Frame,,,,,,
"For Sub-Frames 4, 9",Bits,,,,6624,6624
For Sub-Frame 5,Bits,,,,6336,6336
For Sub-Frame 0,Bits,,,,6336,6336
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,,,,6624,0
Max. Throughput averaged over 1 frame,kbps,,,,2088,2088
"Note 1:2 symbols allocated to PDCCH for 20 MHz channel BW.Note 2:Reference signal, synchronization signals allocated as defined in 3GPP TS 36.211 [16].Note 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in 3GPP TS 36.213 [3].Note 4:Allocation is located in the middle of bandwidth.Note 5:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)Note 6:PDSCH allocation applies only to subframes not configured as PRS subframes.Note 7:PDSCH allocation applies only to subframes where there is no DRS transmissionNote 8:PDSCH is not transmitted in subframes where it is determined that transmission should not occur according to the listen before talk (LBT model).Note 9: Max throughput averaged over 1 frame does not account for missed PDSCH transmission due to LBT or DRS transmission",,,,,,
