Parameter,Unit,Value,
NPDSCH Reference channel,-,R.18 HD-FDD,R.19 HD-FDD
Channel bandwidth,KHz,200,200
Number of transmitter antennas,-,1,2
Allocated subframes per Radio Frame,subframes,Note 1,Note 1
Modulation,,QPSK,QPSK
Target coding rate,,1/3,1/3
Information Bit Payload,,,
"For Sub-Frame 1, 2, 3, 6, 7, 8",Bits,72 Note 2,72 Note 2
"For Sub-Frame 4, 9",Bits,Note 3,Note 3
"For Sub-Frame 0, 5",Bits,0,0
Number of Code Blocks per Sub-Frame,,,
"For Sub-Frame 1, 2, 3, 6, 7, 8",,1 Note 4,1 Note 4
"For Sub-Frame 4, 9",,Note 5,Note 5
"For Sub-Frame 0, 5",,0,0
Maximum number of repetitions,-,Note 6,Note 6
Cell ID,-,Note 7,Note 7
Note 1:Shall depend upon the NPDSCH schedulingNote 2:Only apply for subframes scheduled with NPDSCH.Note 3:72 for subframes scheduled with NPDSCH when mod 2 ≠ 0. Otherwise 0.Note 4: only apply for subframes scheduled with NPDSCH..Note 5:1 for subframes scheduled with NPDSCH when mod 2 ≠ 0. Otherwise 0.Note 6:Maximum number of repetitions shall depend upon the test configuration.Note 7:Cell ID shall depend upon the test configuration.,,,
