Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,Cell 1 is on RF channel number 1
,Neighbouring cell,,Cell 2,Cell 2 is on RF channel number 2
Final condition,Active cell,,Cell 2,
E-UTRA RF channel number,,,"1, 2",Two TDD carriers
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
Special subframe configuration,,,6,As specified in table 4.2-1 in TS 36.211
Uplink-downlink configuration,,,1,As specified in table 4.2-2 in TS 36.211
PRACH configuration,,,53,As specified in table 5.7.1-3 in TS 36.211
Time offset between cells,,,3 s,Synchronous cells
Gap pattern configuration,,,-,No gap pattern configured
T1,,s,5,
T2,,s,1,
