Parameter,,Unit,Cell 2 (UTRA),,,,,,,,,,
Timeslot Number,,,0,,,,,,,DwPTS,,,
,,,T1,,T2,,T3,,T4,T1,T2,T3,T4
UTRA RF Channel Number (Note1),,,Channel 2,,,,,,,,,,
PCCPCH_Ec/Ior,dB,,-3,,,,,,,,,,
DwPCH_Ec/Ior,dB,,,,,,,,,0,,,
OCNS_Ec/Ior,dB,,-3,,,,,,,,,,
,dB,,13,,13,,13,,13,13,13,13,13
,dBm/1.28 MHz,,-80,,,,,,,,,,
PCCPCH RSCP,dBm,,-70,-70,,-70,,-70,,n.a.,n.a.,n.a.,n.a.
Propagation Condition,,,AWGN,,,,,,,,,,
Qrxlevmin,dBm,,-103,,,,,,,,,,
QrxlevminEUTRA,dBm,,-140,,,,,,,,,,
UE_TXPWR_MAX_RACH,dBm,,21,,,,,,,,,,
Treselection,s,,0,,,,,,,,,,
"Threshx, high (Note2)",dB,,44,,,,,,,,,,
"Note1: In the case of multi-frequency cell, the UTRA RF Channel Number is the primary frequency’s channel number.Note2: This refers to the value of Threshx, high which is included in UTRA system information, and is a threshold for the E-UTRA target cell",,,,,,,,,,,,,
