Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
Initial conditions,Active cell,,Cell 1,E-UTRAN TDD cell
,Neighbouring cell,,Cell 2,cdma2000 1X cell
Final condition,Active cell,,Cell 2,cdma2000 1X cell
Channel Bandwidth (BWchannel),,MHz,10,
Gap Pattern Id,,,0,As specified in Table 8.1.2.1-1 started before T2 starts
E-UTRAN TDD measurement quantity,,,RSRP,
Inter-RAT (cdma2000 1X) measurement quantity,,,CDMA2000 1xRTT Pilot Strength,
b2-Threshold1,,dBm,-90,Absolute E-UTRAN RSRP threshold for event B2
b2-Threshold2-CDMA2000,,dB,-14,Absolute ‘CDMA2000 1xRTT Pilot Strength’ threshold for event B2
Hysteresis,,dB,0,
TimeToTrigger,,S,0,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
E-UTRA RF Channel Number,,,1,One E-UTRA TDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
cdma2000 1X RF Channel Number,,,1,One cdma2000 1X carrier frequency is used.
cdma2000 1X neighbour cell list size,,,8,cdma2000 1X cells on cdma2000 1X RF channel 1 provided in the cell list before T2.
cdma2000-SearchWindowSize,,,8 (60 PN chips),Search window size as defined in clause 6.3.5 in TS 36.331
T1,,S,5,
T2,,S,10,
T3,,S,1,
