Parameter,Unit,Cell 1,,,Cell 2,,
,,T1,T2,T3,T1,T2,T3
E-UTRA RF Channel Number,,1,,,,,
BWchannel,MHz,10,,,,,
OCNG Patterns,,OP.6 FDD,,,OP.6 FDD,,
PBCH_RA,dB,-3,,,-3,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
MPDCCH_RA,dB,,,,,,
MPDCCH_PB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote 1,dB,,,,,,
OCNG_RBNote 1,dB,,,,,,
Qrxlevmin,dBm,-140,-140,-140,-140,-140,-140
Pcompensation,dB,0,0,0,0,0,0
Qhysts,dB,0,0,0,0,0,0
"Qoffsets, n",dB,0,0,0,0,0,0
Cell_selection_and_reselection_quality_measurement,,RSRP,,,RSRP,,
Note2,dBm/15 kHz,-98,,,,,
,dB,-7,-12,-7,-infinity,-7,-12
,dB,-7,-12.79,-7.27,-infinity,-7.27,-12.79
RSRP Note3,dBm/15 kHz,-105,-110,-105,-infinity,-105,-110
Treselection,s,0,0,0,0,0,0
Sintrasearch,dB,Not sent,,,Not sent,,
Propagation Condition,,AWGN,,,AWGN,,
Antenna Configuration,,2x1,,,2x1,,
Timing offset to Cell 1,ms,-,,,3,,
Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,
