Parameter,Unit,Cell 2 (UTRA TDD),,,,,,,,,
Timeslot Number,,0,,,,,DwPTS,,,,
,,T0,T1,T2,T3,T4,T0,T1,T2,T3,T4
UTRA RF Channel Number NOTE 1,,"Randomly selected from 1, 2, 3 such that cell 2 is in the normal performance group",,,,,,,,,
PCCPCH_Ec/Ior,dB,-3,,,,,,,,,
DwPCH_Ec/Ior,dB,,,,,,0,,,,
OCNS_Ec/Ior,dB,-3,,,,,,,,,
,dBm/1.28 MHz,-80,,,,,,,,,
,dB,-3,11,-3,-3,-3,-3,11,-3,-3,-3
PCCPCH RSCP,dBm,-86,-72,-86,-86,-86,n.a.,,,,
Propagation Condition,,AWGN,,,,,,,,,
Qrxlevmin,dBm,-103,,,,,,,,,
"Qoffset1s,n",dB,"C1, C2: 0",,,,,,,,,
Qhyst1s,dB,0,,,,,,,,,
Sprioritysearch1,dB,24 (-79dBm),,,,,,,,,
Sprioritysearch2,dB,0,,,,,,,,,
"Threshx, high NOTE 2",dB,46 (-94dBm),,,,,,,,,
SsearchE-UTRA,dB,Not send,,,,,,,,,
Time offset to cell1,ms,3,,,,,,,,,
"NOTE 1: In the case of multi-frequency cell, the UTRA RF Channel Number is the primary frequency’s channel number.NOTE 2:This refers to the value of Threshx, high which is included in UTRA system information, and is a threshold for the E-UTRA target cell",,,,,,,,,,,
