Parameter,,Unit,Value,Comment
PDSCH parameters,,,DL Reference Measurement Channel R.0 FDD,As specified in clause A.3.1.1.1
PCFICH/PDCCH/PHICH parameters,,,DL Reference Measurement Channel R.6 FDD,As specified in clause A.3.1.2.1
Initial conditions,Active cell,,Cell 1,E-UTRAN cell
,Neighbouring cell,,Cell 2,UTRAN cell
Final condition,Active cell,,Cell 2,UTRAN cell
Channel Bandwidth (BWchannel),,MHz,10,
E-UTRAN FDD measurement quantity,,,RSRP,
Inter-RAT (UTRAN FDD) measurement quantity,,,CPICH Ec/N0,
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
E-UTRA RF Channel Number,,,1,One E-UTRA FDD carrier frequency is used.
E-UTRA Channel Bandwidth (BWchannel),,MHz,10,
UTRA RF Channel Number,,,1,One UTRA FDD carrier frequency is used.
Monitored UTRA FDD cell list size,,,12,UTRA cells on UTRA RF channel 1 provided in the cell before T2.
Post-verification period,,,False,
T1,,s,5,
T2,,s,1,
